index;OID;Longitude;Latitude;parent_name;Lat;Lon;lat/lon correct?;parent correct?;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks;diff_to_basecase;annual difference;geometry
3;CID4;7.887637;52.17459;Buzzi Unicem SpA;52.17459;7.887637;correct;1.0;LINESTRING (7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID5'];173.7012031580174;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1039169.9999232;36224666.77797398;2477463.397637328;25786728.948760767;30.66779451178184;397482.524970624;246512.98136406203;888498.6632943355;644585.5926857711;0.7254772790493634;7.533045260727914;38.20083977250976;31.85140033195517;231722.20248221824;61.58556305619618;70.05224010446493;112.93486415149246;0.111551032005091;0.1538438808110672;0.1538438808110672;0.0769219404055336;1.4786930521093495;1.5;POINT (7.887637 52.17459)
4;CID5;8.258075;50.032201;Buzzi Unicem SpA;50.032201;8.258075;correct;1.0;LINESTRING (8.258075007885553 50.03220100577385, 8.503183007634776 51.62267000508754, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID1', 'PIPEID3', 'PIPEID5'];434.1647483269193;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1790909.999808;62429744.87059947;4269670.961743414;39859120.6487931;28.109409248829557;685023.0749265599;421216.225804571;1531242.3771158387;1110881.553315078;0.7254772790493634;11.199212793531352;39.30862204236091;31.57960314457852;395943.2522562967;63.37147653974083;70.88822518693942;114.28259923578298;0.3037985552415051;0.418380813005129;0.2645369321940617;0.2861123469080981;2.2323169114337844;4.0;POINT (8.258075 50.032201)
1;CID2;8.503183;51.62267;Buzzi Unicem SpA;51.62267;8.503183;correct;1.0;LINESTRING (8.503183007634776 51.62267000508754, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID3', 'PIPEID5'];250.5900484425092;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24698781.37517763;30.494671594802124;383387.399985924;240751.0695659704;856991.6185285358;621727.9475781922;0.7254772790493634;8.584351596989034;39.07902319179116;32.25055300711985;226306.00539201213;63.00132827667649;71.32957619891101;114.994124184961;0.4113938768958072;0.5672609611721051;0.1488801481669761;0.492820887088617;2.08179124429293;2.1;POINT (8.503183 51.62267)
2;CID3;8.036802;49.602402;Buzzi Unicem SpA;49.602402;8.036802;correct;1.0;LINESTRING (8.036802008009117 49.60240200599639, 8.258075007885553 50.03220100577385, 8.503183007634776 51.62267000508754, 7.887637007782804 52.17459000497664, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID2', 'PIPEID4', 'PIPEID1', 'PIPEID3', 'PIPEID5'];486.23881734162495;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;22781563.26340673;28.581891133630755;383387.399985924;236959.7707499434;856991.6185285358;621727.9475781922;0.7254772790493634;12.483795808066308;41.06568694169707;31.74267786599361;222742.18450494675;66.20413236082481;72.80836480769068;117.37815630716378;0.5189891985501093;0.7155154478548346;0.1482544866827294;0.6413882045134698;2.2323169114332018;2.2;POINT (8.036802 49.602402)
0;CID1;10.481936;51.364109;Buzzi Unicem SpA;51.364109;10.481936;correct;1.0;LINESTRING (10.48193600702974 51.36410900486374, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID5'];314.65042365206057;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1923569.999664;67054170.41204584;4585942.884526119;45221333.39326073;29.3621244046652;735765.52487148;454552.1970225514;1644667.7382727177;1193169.0757023618;0.7254772790493635;12.033345560384774;41.39546996504997;31.728614133863942;427279.0652011982;66.73579274579308;73.12408409891391;117.88714381721528;0.7254772790493635;1.0;0.2844845521451654;0.8577577239274172;2.6370941003686283;5.1;POINT (10.481936 51.364109)
0;CID13;13.836808;52.489222;CEMEX SAB de CV;52.489222;13.836808;correct;0.0;LINESTRING (13.83680800593638 52.48922200397776, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID1'];428.18770786692414;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1319229.9999696;45987342.93324212;3145148.568791752;31608388.449986227;29.81278409323632;504605.474988372;312052.2920087598;1127952.2038140078;818303.6957207194;0.7254772790493634;18.831950456159497;48.64473454939582;31.76012440902217;293329.1544882342;78.42270967822023;80.40485895841799;129.62486010508152;0.7254772790493634;1.0;1.0;0.5;4.6708772944986094;6.2;POINT (13.836808 52.489222)
0;CID10;11.660638;51.270124;CRH PLC;51.270124;11.660638;correct;0.0;LINESTRING (11.66063800667777 51.27012400471651, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID2'];375.1258419051056;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1695100.0000872;59089881.9856622;4041252.3512624856;37654743.35135521;28.066936024028266;648375.7500333539;399014.62825009314;1449324.060874557;1051451.6761440476;0.7254772790493635;11.319380561568508;39.38631658559677;31.605948688614387;375073.75055508746;63.49673195873343;70.99226527421116;114.45032767822568;0.4559010223683595;0.6281488610284751;0.6281488610284751;0.3140744305142375;0.7461386103075256;1.3;POINT (11.660638 51.270124)
1;CID11;8.614774;49.016926;CRH PLC;49.016926;8.614774;correct;0.0;LINESTRING (8.614774007886115 49.01692600613847, 11.66063800667777 51.27012400471651, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID0', 'PIPEID2'];719.9391534427045;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;23900804.98890749;29.6985422286322;383387.399985924;236963.41714357163;856991.6185285358;621727.9475781922;0.7254772790493634;19.825949972780304;49.5244922014125;31.74316632991282;222745.61211495727;79.8410128012692;81.26765853132532;131.0158242257285;0.7254772790493635;1.0;0.3718511389715249;0.8140744305142376;9.08643322252506;9.1;POINT (8.614774000000001 49.016926)
4;CID20;8.746013;51.698479;HeidelbergCement AG;51.698479;8.746013;correct;0.0;LINESTRING (8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID8'];231.3599462163505;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;25011918.415962256;30.807083839191264;383387.399985924;237884.4940590591;856991.6185285358;621727.9475781922;0.7254772790493634;8.366825227268597;39.17390906645986;31.866552032581204;223611.42441551547;63.15429873628814;71.04046109904107;114.52802667716873;0.0900227280559568;0.123975536237565;0.123975536237565;0.0619877681187825;1.6696979498582465;1.7;POINT (8.746013 51.698479)
7;CID23;8.5105;51.618256;HeidelbergCement AG;51.618256;8.5105;correct;0.0;LINESTRING (8.510500007632825 51.61825600508804, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID7', 'PIPEID4', 'PIPEID8'];250.5376557883127;CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24667383.629604507;30.463346523393515;383387.399985924;240688.98052409952;856991.6185285358;621727.9475781922;0.7254772790493634;8.840001763062503;39.303348286456014;32.2422356777737;226247.64169265347;63.36297444322258;71.5455839642297;115.34236155175408;0.1800454561119137;0.2483376940633345;0.1243621578257695;0.1861566151504498;2.3194320844472287;2.3;POINT (8.5105 51.618256)
