OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;parent_name
SID86;-1.924529914;58.32562071;67;STORAGE;20;4741.74;0;0;1;0;1;1;0;
SID88;-1.116831038;58.5480616;68;STORAGE;20;228.305;0;0;1;0;1;1;0;
SID89;-3.069787516;58.11731044;69;STORAGE;20;88.4646;0;0;1;0;1;1;0;
SID90;-0.099272967;58.52309137;70;STORAGE;20;2138.83824;0;0;1;0;1;1;0;
SID91;1.62214918;57.34975132;71;STORAGE;20;5265.988;0;0;1;0;1;1;0;
SID92;-1.689003401;58.17504062;72;STORAGE;20;55.8432;0;0;1;0;1;1;0;
SID93;-0.270809306;57.91356974;73;STORAGE;20;60.83;0;0;1;0;1;1;0;
SID94;1.691080855;59.57640082;74;STORAGE;20;390.44544;0;0;1;0;1;1;0;
SID95;1.700832541;60.87246079;75;STORAGE;20;254.43264;0;0;1;0;1;1;0;
SID96;-1.778740868;58.31936376;76;STORAGE;20;805.72968;0;0;1;0;1;1;0;
