OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID70;1;OLIVINE;0.0112268126725663;0.06454169689
CID74;2;OLIVINE;0.011328264;0.06476839749
CID70;1;BIOMASS;0.013949638938053;0.03117151443
CID74;2;BIOMASS;0.0140371646017699;0.03136709709
CID70;1;CLAY;0.0174224338938053;0.08069027105
CID74;2;CLAY;0.0175318675221238;0.0809348087
