index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
4;CID81;-5.865094;37.359736;37.359736;-5.865094;Cementos Portland Valderrivas SA;LINESTRING (-5.865093984204829 37.35973601700449, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID4', 'PIPEID6'];149.85615465615166;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;44096531.646079175;29.434091730144512;715274.99988372;463786.08850607276;1598864.9597400778;1159940.2005596017;0.7254772790493634;9.183282811983036;38.61737454212755;33.30055319403238;435958.9231957083;62.25708044880216;71.91792773615992;115.9426363357993;0.18603512035022052;0.25689723833077405;0.25689723833077405;0.12844861916538702
0;CID77;-4.15978;42.874825;42.874825;-4.15978;Cementos Portland Valderrivas SA;LINESTRING (-4.159779986155612 42.87482501277532, -4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID3', 'PIPEID5'];493.5307908360653;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;50245345.27549095;29.75210046306698;804167.9999999999;510416.54131141724;1797568.8192000003;1304095.3358571935;0.7254772790493635;11.77107605626952;41.5231765193365;32.59753268286019;479791.54883273214;66.94167513211072;74.1207092021967;119.4938550441705;0.3951903273490905;0.5440554974900133;0.2871582591592392;0.40047636791039365
3;CID80;-4.46587;41.941676;41.941676;-4.46587;Cementos Portland Valderrivas SA;LINESTRING (-4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID3', 'PIPEID5'];385.8811914318578;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1450000.0000415999;50545884.53616938;3456914.582736875;37050040.35469465;31.40481072851514;554625.0000159119;356767.0912213783;1239761.6000355685;899418.8722636895;0.7254772790493635;9.856149185024448;41.26095991353959;33.03635484585491;335361.06574809557;66.51894208731758;74.2973147593945;119.77857005943324;0.5394421586642837;0.7428221684529256;0.19876667096291234;0.6434388329714694
2;CID79;-2.190187;42.882983;42.882983;-2.190187;Cementos Portland Valderrivas SA;LINESTRING (-2.190186987019881 42.882983012103, -4.159779986155612 42.87482501277532, -4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID0', 'PIPEID3', 'PIPEID5'];656.240343606105;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;814999.9999968;28410273.031472027;1943024.4033370079;19857275.31655469;30.217813750226604;311737.49999877595;199348.81995687494;696831.519997264;505535.4350834472;0.7254772790493634;16.7077862171652;46.925599967391804;32.84213617117399;187387.8907594624;75.65120329687923;79.7677361385658;128.59772122985748;0.6205216362629374;0.8543643619000547;0.11154219344712912;0.7985932651764902
1;CID78;-3.474441;40.244961;40.244961;-3.474441;Cementos Portland Valderrivas SA;LINESTRING (-3.474440985930134 40.24496101419036, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID1', 'PIPEID5'];474.85916656234275;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1055000.0000496;36776488.404576465;2515203.368864989;30351697.094383396;34.62243989125768;403537.5000189719;266291.6337134871;902033.4400424084;654404.7656935035;0.7254772790493634;16.143866194369338;50.766306085627015;33.89068909816058;250314.13569067785;81.84300562985065;84.65699518378759;136.47995033845078;0.7254772790493633;1.0;0.14563563809994529;0.9271821809500274
