Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;36;INJ_WELL;1;1;LL;1732733.7732862986
CLIQ_CO2_OFFSHORE;39;INJ_WELL;1;1;LL;2458189.80001224
