OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;latitude;longitude;parent_name
SID137;-9.485219826;40.17655026;53;STORAGE;20;211;0;0;1;0;1;1;0;;;
SID138;-9.486527492;40.16902891;54;STORAGE;20;68;0;0;1;0;1;1;0;;;
SID139;-9.313879323;40.14488738;55;STORAGE;20;157;0;0;1;0;1;1;0;;;
SID140;-9.187661843;40.03689421;56;STORAGE;20;10;0;0;1;0;1;1;0;;;
SID141;-9.21104047;39.94828841;57;STORAGE;20;106;0;0;1;0;1;1;0;;;
SID142;-9.262704784;39.8999413;58;STORAGE;20;10;0;0;1;0;1;1;0;;;
SID143;-9.345183382;39.82818359;59;STORAGE;20;5;0;0;1;0;1;1;0;;;
SID144;-9.300848103;39.71735804;60;STORAGE;20;1024;0;0;1;0;1;1;0;;;
SID145;-8.969029243;39.62591193;61;STORAGE;20;182;0;0;1;0;1;1;0;;;
SID146;-9.023099386;39.39648525;62;STORAGE;20;27;0;0;1;0;1;1;0;;;
SID147;-8.951758457;38.34034365;63;STORAGE;20;29;0;0;1;0;1;1;0;;;
SID148;-8.82748819;38.27197658;64;STORAGE;20;15;0;0;1;0;1;1;0;;;
SID149;-8.954695236;38.20444252;65;STORAGE;20;19;0;0;1;0;1;1;0;;;
SID150;-9.034032476;38.13253649;66;STORAGE;20;22;0;0;1;0;1;1;0;;;
SID151;-8.398951181;36.78875451;67;STORAGE;20;183;0;0;1;0;1;1;0;;;
SID152;-8.398951181;36.78875451;68;STORAGE;20;662;0;0;1;0;1;1;0;;;
SID153;-7.729175523;36.79973559;69;STORAGE;20;86;0;0;1;0;1;1;0;;;
SID154;-7.566468288;36.90185608;70;STORAGE;20;38;0;0;1;0;1;1;0;;;
SID155;-7.324579604;36.7747261;71;STORAGE;20;210;0;0;1;0;1;1;0;;;
SID156;-7.431036506;36.55563772;72;STORAGE;20;68;0;0;1;0;1;1;0;;;
