index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
0;CID1;10.481936;51.364109;LINESTRING (10.48193600702974 51.36410900486374, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID0', 'PIPEID9', 'PIPEID21'];612.6357867;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1;1923570;67054170.41;4585942.885;54975000.79;34.43273135;735765.5249;454552.197;1644667.738;1193169.076;0.725477279;9.261485721;43.69421707;0;70.44172265;43.69421707;70.44172265;0.40272296;0.40272296;0.057816663;0.373814629
3;CID4;7.887637;52.17459;LINESTRING (7.887637007782804 52.17459000497664, 8.03084000776645 51.85722500507583, 8.073849007761982 51.75923400510686, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID3', 'PIPEID7', 'PIPEID15', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];589.0710323;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1;1039170;36224666.78;2477463.398;31055951.56;35.73840145;397482.525;246512.9814;888498.6633;644585.5927;0.725477279;8.314818115;44.05321957;0;71.02048928;44.05321957;71.02048928;0.433957249;0.433957249;0.031234289;0.418340104
15;CID22;9.618221;49.808084;LINESTRING (9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID11', 'PIPEID9', 'PIPEID21'];708.9467286;CCS_CALCINED_CLAY_CEMENT;16;1;LL;1;1002320;34940104.13;2389610.086;28983868.02;34.76983985;383387.4;239174.4402;856991.6185;621727.9476;0.725477279;9.57444756;44.34428741;0;71.4897349;44.34428741;71.4897349;0.464083939;0.464083939;0.03012669;0.449020594
2;CID3;8.036802;49.602402;LINESTRING (8.036802008009117 49.60240200599639, 8.258075007885553 50.03220100577385, 8.336089007692191 51.59516100512659, 8.335833007691845 51.59952100512495, 8.336864007691252 51.60206300512377, 8.503183007634776 51.62267000508754, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID2', 'PIPEID4', 'PIPEID13', 'PIPEID5', 'PIPEID20', 'PIPEID1', 'PIPEID9', 'PIPEID21'];746.1436635;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1;1002320;34940104.13;2389610.086;27863934.01;33.65249808;383387.4;236959.7707;856991.6185;621727.9476;0.725477279;10.71235659;44.36485467;0;71.52289245;44.36485467;71.52289245;0.494210629;0.494210629;0.03012669;0.479147284
6;CID10;11.660638;51.270124;LINESTRING (11.66063800667777 51.27012400471651, 11.75322300659939 51.81327100450306, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID6', 'PIPEID16', 'PIPEID9', 'PIPEID21'];761.0380623;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1;1695100;59089881.99;4041252.351;46249929.18;33.13754297;648375.75;399014.6283;1449324.061;1051451.676;0.725477279;11.37705375;44.51459671;0;71.7642994;44.51459671;71.7642994;0.545160178;0.545160178;0.050949549;0.519685404
28;CID43;9.768927;49.954669;LINESTRING (9.768927007401388 49.9546690055364, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID19', 'PIPEID11', 'PIPEID9', 'PIPEID21'];729.2649248;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1;965470;33655541.48;2301756.774;27805537.04;34.65305983;369292.275;228256.0446;825484.5738;598870.3025;0.725477279;10.09488186;44.7479417;0;72.140487;44.7479417;72.140487;0.574179269;0.574179269;0.029019091;0.559669724
12;CID19;8.685598;49.357624;LINESTRING (8.685598007822042 49.3576240059794, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID8', 'PIPEID11', 'PIPEID9', 'PIPEID21'];796.054996;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1;1002320;34940104.13;2389610.086;28471375.81;34.25853386;383387.4;236630.8178;856991.6185;621727.9476;0.725477279;13.03237;47.29090386;0;76.24012873;47.29090386;76.24012873;0.604305959;0.604305959;0.03012669;0.589242614
27;CID42;10.162965;48.652954;LINESTRING (10.16296500742447 48.65295400600783, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID18', 'PIPEID11', 'PIPEID9', 'PIPEID21'];848.7452753;CCS_CALCINED_CLAY_CEMENT;28;1;LL;1;943360;32884803.89;2249044.787;28585962.87;36.15534301;360835.2;224184.5562;806580.3469;585155.7154;0.725477279;11.37409111;47.52943413;0;76.62467579;47.52943413;76.62467579;0.632660491;0.632660491;0.028354532;0.618483225
14;CID21;9.735574;48.368982;LINESTRING (9.735574007596558 48.36898200620787, 10.16296500742447 48.65295400600783, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID10', 'PIPEID18', 'PIPEID11', 'PIPEID9', 'PIPEID21'];895.2421144;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1;1400300;48813380.77;3338425.855;43208418.57;36.70960276;535614.75;333312.1293;1197267.702;868590.5151;0.725477279;12.155549;48.86515177;0;78.77805575;48.86515177;78.77805575;0.674749249;0.674749249;0.042088758;0.65370487
26;CID41;9.732415;48.333264;LINESTRING (9.732415007601949 48.33326400622393, 9.735574007596558 48.36898200620787, 10.16296500742447 48.65295400600783, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 4.455489276763777 54.37006107471869);['PIPEID17', 'PIPEID10', 'PIPEID18', 'PIPEID11', 'PIPEID9', 'PIPEID21'];899.3828758;CCS_CALCINED_CLAY_CEMENT;27;1;LL;1;1687730;58832969.45;4023681.688;52371608.26;36.8838565;645556.725;402065.159;1443022.652;1046880.147;0.725477279;12.25314927;49.13700576;0;79.21632574;49.13700576;79.21632574;0.725477279;0.725477279;0.05072803;0.700113264
