index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
2;CID108;-8.935936;38.501466;38.501466;-8.935936;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID2', 'PIPEID4'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30026773.968849115;28.95057719869493;497249.999986536;315990.9808288322;1111510.399969904;806375.5406052356;0.7254772790493634;8.908525103448628;37.859102302143555;32.6367324808954;297031.5219791023;61.03463028468554;70.49583478303896;113.6500062324363;0.24059195483127951;0.331132076537019;0.331132076537019;0.1655660382685095
0;CID106;-8.905132;39.685773;39.685773;-8.905132;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.905131983284637 39.68577301669793, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID3'];184.87976662086436;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;619999.999932;21612723.040061247;1478128.993793312;15265495.238348236;30.47482527665863;237149.99997398994;150879.3192689133;530104.9599418595;384579.10394919204;0.7254772790493634;8.772114452886326;39.246939729544955;32.67483201465589;141826.5601127785;63.2720352712242;71.92177174420084;115.94883346133376;0.35533581020287336;0.489106233629534;0.157974157092515;0.41011915508327645
1;CID107;-8.987387;39.655677;39.655677;-8.987387;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.987386983238295 39.65567701675344, -8.905131983284637 39.68577301669793, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID1', 'PIPEID0', 'PIPEID3'];192.7114569188099;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1999999.999272;69718461.40182143;4768158.0432819035;49140976.7767526;30.423547157813235;764999.9997215399;491314.85646949004;1710015.9993775545;1240577.7543593063;0.7254772790493635;8.927885018475674;39.35143217628891;32.98414553981287;461835.96508132067;63.44049298592808;72.33557771610178;116.61595161704183;0.7254772790493633;1.0;0.510893766370466;0.744553116814767
