index;OID;Longitude;Latitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
1;CID55;-1.851891;53.265267;CRH PLC;LINESTRING (-1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID4'];140.2659960934138;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;20666320.382640734;33.894199032555164;281902.50002906995;191401.20401913577;630140.8960649807;457152.9026949499;0.7254772790493634;10.187753754536946;44.081952787092106;34.87004553338377;179917.1317779876;71.0668115982981;78.95199832047587;127.28262781483123;0.11893070150435878;0.16482382737931986;0.16482382737931986;0.08241191368965993
4;CID73;-6.387712;53.684307;CRH PLC;LINESTRING (-6.387711986882004 53.68430700731975, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID3', 'PIPEID4'];287.1776073317486;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;2063599.999512;71935508.48357257;4919785.46968564;56230258.10300056;33.10168161196541;789326.9998133399;529571.7769445061;1764394.5083827563;1280028.1271111614;0.7254772790493634;11.851026225750303;44.952707837715714;34.456776793157346;497797.47032783576;72.47060115884258;79.40948463087307;128.0201653188258;0.45193666560347434;0.6247858465084258;0.45996201912910595;0.39480483694387286
0;CID54;-3.392125;51.397546;CRH PLC;;;;CALCINED_CLAY_CEMENT;1;1;LL;1.0;368499.99995040003;3347805.726461836;422637.7217672409;3317280.214849075;11.053110741996376;0.0;200736.9760701182;315070.4479575917;121866.48847000083;0.38679123751524924;0.0;11.053110741996376;73.14172900148476;188692.7575059111;33.42240643029667;84.19483974348114;254.58843387396183;0.4836408653978294;0.7051342552860167;0.08034840877759086;0.6649600508972213
3;CID72;-8.688373;52.641364;CRH PLC;;;;CALCINED_CLAY_BIOMASS_CEMENT;4;1;LL;1.0;589600.0000608;5356489.163612284;676220.3549883369;23169827.28013009;41.34852955690118;0.0;190083.27368511117;504112.71685198456;328840.3241777597;0.6523150739605571;0.0;41.34852955690118;43.28742628933387;178678.27726400452;74.13656792311282;84.63595584623505;151.74951459149852;0.5691903833092985;0.836440318715978;0.13130606342996132;0.7707872870009973
2;CID56;-2.47192;55.979125;CRH PLC;LINESTRING (-2.471919988719641 55.97912500537524, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID2', 'PIPEID4'];373.23506477525837;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;20479454.821375318;33.64065010277749;281902.50002906995;186203.200165404;630140.8960649807;457152.9026949499;0.7254772790493634;18.004274872300147;51.64492497507764;33.92305759779999;175031.00815547977;83.25947289446732;85.56798257287764;137.9486005468836;0.6881210848136573;1.0;0.16355968128402198;0.9182201593579891
