OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
CID52;8.515097;49.425386;52;CEMENT;11;0;0;1;1;0;1;1;0
TID1;7.50334382;53.65739169;53;TERMINAL;30;0;1;1;1;0;1;1;0
TID2;7.049048646;53.49318862;54;TERMINAL;30;0;1;1;1;0;1;1;0
TID3;13.56517399;54.10895015;55;TERMINAL;30;0;1;1;1;0;1;1;0
TID4;6.715169061;53.43571754;56;TERMINAL;30;0;1;1;1;0;1;1;0
TID5;5.401544463;53.13741529;57;TERMINAL;30;0;1;1;1;0;1;1;0
TID6;4.711891549;52.8569017;58;TERMINAL;30;0;1;1;1;0;1;1;0
TID7;4.16044289;51.98936213;59;TERMINAL;30;0;1;1;1;0;1;1;0
SID97;6.674735937;55.07066178;60;STORAGE;20;100;0;0;1;0;1;1;0
SID98;7.213348192;55.04193579;61;STORAGE;20;100;0;0;1;0;1;1;0
SID99;7.47906357;54.91985035;62;STORAGE;20;100;0;0;1;0;1;1;0
SID100;7.292344656;54.7905834;63;STORAGE;20;100;0;0;1;0;1;1;0
SID101;6.782458388;54.61104599;64;STORAGE;20;100;0;0;1;0;1;1;0
SID102;6.940451316;54.51768653;65;STORAGE;20;100;0;0;1;0;1;1;0
SID103;6.523924506;54.30224163;66;STORAGE;20;100;0;0;1;0;1;1;0
SID104;6.782458388;54.29506013;67;STORAGE;20;100;0;0;1;0;1;1;0
SID105;7.170259211;54.19451918;68;STORAGE;20;100;0;0;1;0;1;1;0
SID106;7.421611597;54.12270421;69;STORAGE;20;100;0;0;1;0;1;1;0
SID107;7.881227387;53.99343727;70;STORAGE;20;100;0;0;1;0;1;1;0
SID108;7.471882074;53.78517386;71;STORAGE;20;100;0;0;1;0;1;1;0
SID109;7.759141943;53.7061774;72;STORAGE;20;100;0;0;1;0;1;1;0
SID110;8.355206171;53.59845495;73;STORAGE;20;100;0;0;1;0;1;1;0
SID111;8.484473112;53.74208488;74;STORAGE;20;100;0;0;1;0;1;1;0
SID112;8.750188491;54.00780026;75;STORAGE;20;100;0;0;1;0;1;1;0
SID113;8.391113655;54.28069714;76;STORAGE;20;100;0;0;1;0;1;1;0
SID114;8.269028211;54.42432707;77;STORAGE;20;100;0;0;1;0;1;1;0
SID115;8.455747126;54.7977649;78;STORAGE;20;100;0;0;1;0;1;1;0
SID116;4.126057327;52.99269476;79;STORAGE;20;168;0;0;1;0;1;1;0
SID117;3.825024691;52.56102532;80;STORAGE;20;360;0;0;1;0;1;1;0
SID118;4.455489268;54.37006107;81;STORAGE;20;650;0;0;1;0;1;1;0
SID119;3.870463579;53.44140379;82;STORAGE;20;60;0;0;1;0;1;1;0
SID120;4.202735451;55.1169628;83;STORAGE;20;190;0;0;1;0;1;1;0
SID121;3.975541009;53.24260865;84;STORAGE;20;165;0;0;1;0;1;1;0
SID122;3.271238238;53.75379614;85;STORAGE;20;140;0;0;1;0;1;1;0
SID123;3.350756293;53.50956212;86;STORAGE;20;195;0;0;1;0;1;1;0
SID124;4.180016007;53.46412323;87;STORAGE;20;175;0;0;1;0;1;1;0
