From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
111;112;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
112;113;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
113;114;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
114;115;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
115;62;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;342.7239297820499
116;117;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.607615580445268
117;118;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.37330051034526
118;119;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.37330051034526
119;120;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
120;121;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
121;122;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
122;123;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
123;124;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
124;125;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
125;126;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
126;127;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.25614297529526
127;128;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.33446917399525
128;129;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;124.21731163894523
129;109;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;124.21731163894523
132;133;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
133;109;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.882842464949995
136;137;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
137;138;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
138;139;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;65.80943065196234
139;140;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592471234
140;141;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592471234
141;87;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.17356592471234
143;144;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362349997
144;145;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362349997
145;146;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
146;147;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
147;148;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
148;149;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
149;150;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
150;136;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.801682362387357
152;153;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
153;154;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
154;155;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
155;156;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
156;157;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
157;158;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
158;92;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.756519692199998
