From grid;To grid;Distribution type;Major time;Scenario;No. of units
142;143;32INCH_CO2_ONSHORE;1;LL;1.0
143;144;32INCH_CO2_ONSHORE;1;LL;1.0
144;145;32INCH_CO2_ONSHORE;1;LL;1.0
145;146;32INCH_CO2_ONSHORE;1;LL;1.0
146;147;32INCH_CO2_ONSHORE;1;LL;1.0
147;148;32INCH_CO2_ONSHORE;1;LL;1.0
148;149;32INCH_CO2_ONSHORE;1;LL;1.0
149;150;32INCH_CO2_ONSHORE;1;LL;1.0
150;136;32INCH_CO2_ONSHORE;1;LL;1.0
151;152;32INCH_CO2_ONSHORE;1;LL;1.0
152;153;32INCH_CO2_ONSHORE;1;LL;1.0
153;154;32INCH_CO2_ONSHORE;1;LL;1.0
154;155;32INCH_CO2_ONSHORE;1;LL;1.0
155;156;32INCH_CO2_ONSHORE;1;LL;1.0
156;157;32INCH_CO2_ONSHORE;1;LL;1.0
157;158;32INCH_CO2_ONSHORE;1;LL;1.0
158;92;32INCH_CO2_ONSHORE;1;LL;1.0
