PORT_NAME;VID;Latitude;Longitude;geometry
Terminal Pesquero Cta. Quiane;PID1;-18.513597026467323;-70.31722387298942;POINT (-18.51359702646732 -70.31722387298942)
Oil Berth;PID2;17.150384410999997;-61.86886473007713;POINT (17.150384411 -61.86886473007713)
Port of Basamuk;PID3;-5.53913255687803;146.14295817405977;POINT (-5.53913255687803 146.1429581740598)
Victoria;PID4;48.402783083729446;-123.32715191091728;POINT (48.40278308372945 -123.3271519109173)
;PID5;36.333661512471735;126.50786074843955;POINT (36.33366151247174 126.5078607484396)
Ladysmith Harbour;PID6;48.995376555249095;-123.7981702153305;POINT (48.99537655524909 -123.7981702153305)
Yura Ko;PID7;34.28896299563348;134.9560471628005;POINT (34.28896299563348 134.9560471628005)
Bristol City Docks;PID8;51.491163074970245;-2.758243494577621;POINT (51.49116307497025 -2.758243494577621)
4;PID9;60.03620322793722;29.401222241448345;POINT (60.03620322793722 29.40122224144834)
5a;PID10;60.090993382036686;29.370157135380527;POINT (60.09099338203669 29.37015713538053)
4A;PID11;60.01272128429264;29.3546824296612;POINT (60.01272128429264 29.3546824296612)
1a;PID12;59.9363673850894;29.979013534407343;POINT (59.9363673850894 29.97901353440734)
1b;PID13;59.91870562545955;29.9532854126495;POINT (59.91870562545955 29.9532854126495)
18;PID14;60.539520755410194;28.37957589116156;POINT (60.53952075541019 28.37957589116156)
Port Alberni;PID15;48.99731080513448;-125.00189345292245;POINT (48.99731080513448 -125.0018934529224)
Chemainus;PID16;48.76106627751142;-123.59617659728646;POINT (48.76106627751142 -123.5961765972865)
MONTREAL;PID17;45.48107736278325;-73.53272993264281;POINT (45.48107736278325 -73.53272993264281)
Yanwei Gang;PID18;34.474083026871085;119.78650425273612;POINT (34.47408302687109 119.7865042527361)
452;PID19;45.30485094990581;36.51019271920032;POINT (45.30485094990581 36.51019271920032)
Novorosiis'k;PID20;44.58263733864895;37.92359276241322;POINT (44.58263733864895 37.92359276241322)
;PID21;-23.75274487305433;-70.46187450678713;POINT (-23.75274487305433 -70.46187450678713)
354;PID22;46.461394457146525;30.878191614731925;POINT (46.46139445714653 30.87819161473193)
SHINGU;PID23;33.67201162967831;135.98211007433795;POINT (33.67201162967831 135.982110074338)
Hiro Ku;PID24;34.21489073429257;132.60516251703473;POINT (34.21489073429257 132.6051625170347)
;PID25;32.98812351655215;131.9355403523245;POINT (32.98812351655215 131.9355403523245)
;PID26;31.85632057953626;130.1846118342561;POINT (31.85632057953626 130.1846118342561)
Section 2;PID27;35.550017561763525;135.1948148170717;POINT (35.55001756176353 135.1948148170717)
Boston Harbor, MA Quincy Yacht Club Anchorage Area;PID28;42.27118152659386;-70.94596870108;POINT (42.27118152659386 -70.94596870108001)
Orchard Point General Anchorage, Puget Sound;PID29;47.54364798311144;-122.52252874697275;POINT (47.54364798311144 -122.5225287469728)
Hannan Port;PID30;34.421924371272326;135.31110022775667;POINT (34.42192437127233 135.3111002277567)
F;PID31;37.09832082968205;-6.869178505148739;POINT (37.09832082968205 -6.869178505148739)
Marmara Adasi Harbour;PID32;40.530405580066144;27.47853157569348;POINT (40.53040558006614 27.47853157569348)
Karabiga Harbour;PID33;40.53041702136397;27.44750254321844;POINT (40.53041702136397 27.44750254321844)
;PID34;39.39550980459899;-0.2890727185788851;POINT (39.39550980459899 -0.2890727185788851)
;PID35;39.39763876609504;-0.2636473975467921;POINT (39.39763876609504 -0.2636473975467921)
B;PID36;36.67383304797113;-4.359581253502862;POINT (36.67383304797113 -4.359581253502862)
C;PID37;36.69065359979868;-4.359737063184686;POINT (36.69065359979868 -4.359737063184686)
A;PID38;36.6904477821663;-4.384669542778283;POINT (36.6904477821663 -4.384669542778283)
Yangpu Gang;PID39;19.725760496221483;109.2170067386196;POINT (19.72576049622148 109.2170067386196)
B;PID40;38.87698934879154;1.4638403803110125;POINT (38.87698934879154 1.463840380311012)
;PID41;43.61042789183557;-5.64993573414238;POINT (43.61042789183557 -5.64993573414238)
;PID42;43.6061758780852;-5.969789804343471;POINT (43.6061758780852 -5.969789804343471)
;PID43;-31.87939176801592;-71.51351346304415;POINT (-31.87939176801592 -71.51351346304415)
;PID44;-26.842098673805594;-70.81458663455862;POINT (-26.84209867380559 -70.81458663455862)
COQUIMBO;PID45;-29.94766294956208;-71.32753805158285;POINT (-29.94766294956208 -71.32753805158285)
;PID46;34.71380654722452;136.9746715035114;POINT (34.71380654722452 136.9746715035114)
;PID47;34.69948430545628;136.97576184839204;POINT (34.69948430545628 136.975761848392)
;PID48;1.894743461161852;-78.78413542639464;POINT (1.894743461161852 -78.78413542639464)
