Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity;capacity t/hh;Type;Unnamed: 10;geometry;1_closest_olivine;2_closest_olivine;3_closest_olivine;4_closest_olivine;1_closest_port;1_closest_biomass;1_closest_clay;2_closest_clay;3_closest_clay
Germany;CID50;276;Europe;Western Europe;53.899492;10.809747;;74.20091324;Grinding;;POINT (53.899492 10.809747);OID3;OID1;OID4;OID5;PID1750;BID1;CLID21;CLID22;CLID20
Germany;CID51;276;Europe;Western Europe;51.014295;11.684831;;74.20091324;Grinding;;POINT (51.014295 11.684831);OID3;OID1;OID4;OID5;PID1750;BID1;CLID22;CLID21;CLID19
Germany;CID52;276;Europe;Western Europe;49.425386;8.515097;;74.20091324;Grinding;;POINT (49.425386 8.515097000000001);OID3;OID1;OID2;OID4;PID532;BID1;CLID27;CLID26;CLID24
United Kingdom;CID53;826;Europe;Northern Europe;53.337916;-1.751755;1.5;85.61643836;Integrated;;POINT (53.337916 -1.751755);OID2;OID1;OID3;OID4;PID454;BID1;CLID48;CLID46;CLID40
United Kingdom;CID54;826;Europe;Northern Europe;51.397546;-3.392125;0.5;28.53881279;Integrated;;POINT (51.397546 -3.392125);OID2;OID3;OID1;OID4;PID702;BID1;CLID44;CLID31;CLID30
United Kingdom;CID55;826;Europe;Northern Europe;53.265267;-1.851891;1.0;57.07762557;Integrated;;POINT (53.265267 -1.851891);OID2;OID1;OID3;OID4;PID454;BID1;CLID48;CLID46;CLID40
United Kingdom;CID56;826;Europe;Northern Europe;55.979125;-2.47192;1.0;57.07762557;Integrated;;POINT (55.979125 -2.47192);OID1;OID2;OID3;OID4;PID342;BID1;CLID48;CLID46;CLID40
United Kingdom;CID57;826;Europe;Northern Europe;52.907516;-0.905543;;74.20091324;Grinding;;POINT (52.907516 -0.905543);OID1;OID3;OID2;OID4;PID556;BID1;CLID48;CLID46;CLID40
United Kingdom;CID58;826;Europe;Northern Europe;53.675822;-0.529654;0.7;39.9543379;Integrated;;POINT (53.675822 -0.529654);OID1;OID3;OID2;OID4;PID556;BID1;CLID48;CLID46;CLID40
United Kingdom;CID59;826;Europe;Northern Europe;52.377293;-1.286254;1.8;102.739726;Integrated;;POINT (52.377293 -1.286254);OID2;OID3;OID1;OID4;PID1649;BID1;CLID48;CLID46;CLID40
United Kingdom;CID60;826;Europe;Northern Europe;51.457535;0.351728;;74.20091324;Grinding;;POINT (51.457535 0.351728);OID3;OID2;OID1;OID4;PID445;BID1;CLID40;CLID46;CLID48
United Kingdom;CID61;826;Europe;Northern Europe;53.888913;-2.383373;1.3;74.20091324;Integrated;;POINT (53.888913 -2.383373);OID2;OID1;OID3;OID4;PID2640;BID1;CLID48;CLID46;CLID43
United Kingdom;CID62;826;Europe;Northern Europe;53.152678;-3.061635;0.91;51.94063927;Integrated;;POINT (53.152678 -3.061635);OID2;OID1;OID3;OID4;PID454;BID1;CLID39;CLID32;CLID36
United Kingdom;CID63;826;Europe;Northern Europe;52.640356;-0.547016;2.16;123.2876712;Integrated;;POINT (52.640356 -0.5470159999999999);OID3;OID1;OID2;OID4;PID556;BID1;CLID48;CLID40;CLID46
United Kingdom;CID64;826;Europe;Northern Europe;54.59506;-1.169809;;74.20091324;Grinding;;POINT (54.59506 -1.169809);OID1;OID2;OID3;OID4;PID347;BID1;CLID48;CLID46;CLID40
United Kingdom;CID65;826;Europe;Northern Europe;51.471516;0.261598;;74.20091324;Grinding;;POINT (51.471516 0.261598);OID3;OID2;OID1;OID4;PID445;BID1;CLID40;CLID46;CLID48
United Kingdom;CID66;826;Europe;Northern Europe;51.584677;-3.787058;;74.20091324;Grinding;;POINT (51.584677 -3.787058);OID2;OID3;OID1;OID4;PID709;BID1;CLID39;CLID32;CLID36
United Kingdom;CID67;826;Europe;Northern Europe;54.618105;-6.767677;0.48;27.39726027;Integrated;;POINT (54.618105 -6.767677);OID2;OID1;OID3;OID4;PID672;BID1;CLID39;CLID36;CLID32
United Kingdom;CID68;826;Europe;Northern Europe;53.044003;-1.875169;0.96;54.79452055;Integrated;;POINT (53.044003 -1.875169);OID2;OID1;OID3;OID4;PID454;BID1;CLID48;CLID46;CLID40
United Kingdom;CID69;826;Europe;Northern Europe;53.571377;-0.6155;;74.20091324;Grinding;;POINT (53.571377 -0.6155);OID1;OID3;OID2;OID4;PID556;BID1;CLID48;CLID46;CLID40
United Kingdom;CID70;826;Europe;Northern Europe;54.143487;-7.572383;1.17;66.78082192;Integrated;;POINT (54.143487 -7.572383);OID2;OID1;OID3;OID4;PID672;BID1;CLID39;CLID36;CLID32
Ireland;CID71;372;Europe;Northern Europe;53.432118;-7.143371;0.7;39.9543379;Integrated;;POINT (53.432118 -7.143371);OID2;OID1;OID3;OID4;PID314;BID1;CLID39;CLID36;CLID32
Ireland;CID72;372;Europe;Northern Europe;52.641364;-8.688373;0.8;45.66210046;Integrated;;POINT (52.641364 -8.688373);OID2;OID1;OID3;OID4;PID2625;BID1;CLID39;CLID36;CLID32
Ireland;CID73;372;Europe;Northern Europe;53.684307;-6.387712;2.8;159.8173516;Integrated;;POINT (53.684307 -6.387712);OID2;OID1;OID3;OID4;PID314;BID1;CLID39;CLID36;CLID32
