index;OID;Longitude;Latitude;parent_name;Lat;Lon;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
4;CID43;9.768927;49.954669;SCHWENK Zement KG;49.954669;9.768927;LINESTRING (9.768927007401388 49.9546690055364, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID4'];444.0481835;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1;965470;33655541.48;2301756.774;22910018.15;29.58245289;369292.275;228256.0446;825484.5738;598870.3025;0.725477279;12.21496737;41.79742026;31.74379463;181860.8238;67.38379775;73.54121488;118.5596221;0.133105775;0.175996139;0.175996139;0.08799807
0;CID40;11.753223;51.813271;SCHWENK Zement KG;51.813271;11.753223;LINESTRING (11.75322300659939 51.81327100450306, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID4'];336.1682873;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1;1665620;58062231.86;3970969.701;37754727.56;28.52013022;637099.65;392300.5061;1424118.425;1033165.56;0.725477279;13.70151735;42.22164756;31.62410756;312561.6819;68.06771668;73.84575512;119.0505873;0.36273864;0.479356402;0.303360262;0.327676271
3;CID42;10.162965;48.652954;SCHWENK Zement KG;48.652954;10.162965;LINESTRING (10.16296500742447 48.65295400600783, 9.768927007401388 49.9546690055364, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID2', 'PIPEID3', 'PIPEID4'];597.5113391;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1;943360;32884803.89;2249044.787;23802555.11;31.08473607;360835.2;224184.5562;806580.3469;585155.7154;0.725477279;14.53563594;45.62037201;31.90829295;178616.9042;73.54697734;77.52866496;124.987998;0.492796191;0.651529673;0.172173272;0.565443038
1;CID41;9.732415;48.333264;SCHWENK Zement KG;48.333264;9.732415;LINESTRING (9.732415007601949 48.33326400622393, 10.16296500742447 48.65295400600783, 9.768927007401388 49.9546690055364, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID2', 'PIPEID3', 'PIPEID4'];647.1893857;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1;1687730;58832969.45;4023681.688;43813792.81;31.81324955;645556.725;402065.159;1443022.652;1046880.147;0.725477279;15.70683913;47.52008868;31.98665364;320341.5759;76.60960951;79.50674232;128.1769595;0.725477279;0.959735324;0.308205651;0.805632499
