Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;19;INJ_WELL;1;1;LL;406464.0
CLIQ_CO2_OFFSHORE;42;INJ_WELL;1;1;LL;4870290.042918212
