index;OID;Longitude;Latitude;parent_name;Lat;Lon;lat/lon correct?;parent correct?;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
4;CID20;8.746013;51.698479;HeidelbergCement AG;51.698479;8.746013;correct;0.0;LINESTRING (8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID4', 'PIPEID8'];231.35994621635052;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;25011918.415962256;30.807083839191264;383387.39998592396;237884.4940590591;856991.6185285358;621727.9475781922;0.7254772790493634;8.366825227268597;39.17390906645986;31.866552032581204;223611.42441551547;63.15429873628814;71.04046109904107;114.52802667716873;0.09002272805595685;0.12397553623756509;0.12397553623756509;0.061987768118782545
7;CID23;8.5105;51.618256;HeidelbergCement AG;51.618256;8.5105;correct;0.0;LINESTRING (8.510500007632825 51.61825600508804, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID7', 'PIPEID4', 'PIPEID8'];250.5376557883127;CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24667383.629604507;30.463346523393515;383387.39998592396;240688.98052409952;856991.6185285358;621727.9475781922;0.7254772790493634;8.840001763062503;39.303348286456014;32.2422356777737;226247.64169265347;63.36297444322258;71.5455839642297;115.34236155175407;0.1800454561119137;0.24833769406333459;0.1243621578257695;0.18615661515044984
1;CID17;8.03084;51.857225;HeidelbergCement AG;51.857225;8.03084;correct;0.0;LINESTRING (8.03084000776645 51.85722500507583, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID4', 'PIPEID8'];285.42312630024304;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;24532952.464639496;30.329226516838776;383387.39998592396;240423.1428953813;856991.6185285358;621727.9475781922;0.7254772790493634;9.700502157665365;40.02972867450414;32.20662457726345;225997.7543216583;64.53401009210678;72.23635325176758;116.45598669110404;0.27006818416787054;0.3726632039795845;0.12432550991624994;0.31050044902145957
6;CID22;9.618221;49.808084;HeidelbergCement AG;49.808084;9.618221;correct;0.0;LINESTRING (9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID6', 'PIPEID4', 'PIPEID8'];458.1602872307997;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;23901497.26579327;29.699232903153117;383387.39998592396;239174.44023966286;856991.6185285358;621727.9475781922;0.7254772790493634;11.037423207897952;40.73665611105107;32.039350756794114;224823.973825283;65.6736846248888;72.77600686784518;117.3259903873413;0.3600909122238274;0.49681656993651535;0.12415336595693083;0.43473988695804994
3;CID19;8.685598;49.357624;HeidelbergCement AG;49.357624;8.685598;correct;0.0;LINESTRING (8.685598007822042 49.3576240059794, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID3', 'PIPEID6', 'PIPEID4', 'PIPEID8'];545.2685546423389;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;23389005.055532277;29.18792692274785;383387.39998592396;236630.8177846793;856991.6185285358;621727.9475781922;0.7254772790493634;13.186453866551588;42.37438078929944;31.698611955664635;222432.96871759847;68.3139458610707;74.07299274496407;119.4169288586935;0.45011364027978423;0.6206192765604107;0.12380270662389536;0.558717923248463
2;CID18;9.876779;52.374756;HeidelbergCement AG;52.374756;9.876779;correct;0.0;LINESTRING (9.876779007123972 52.37475600458054, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID2', 'PIPEID4', 'PIPEID8'];343.05167703216796;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;663299.9999808001;23122127.73166124;1581359.6155842843;16570744.524652109;30.83533604849534;253712.249992656;157603.0237566111;567126.806383584;411437.61237111775;0.7254772790493635;12.530581379745406;43.36591742824075;31.902879628514917;148146.84233121437;69.91245370968592;75.26879705675566;121.3447472596834;0.5096875044349244;0.7026866510851637;0.08206737452475299;0.6616529638227873
0;CID16;12.029824;49.213555;HeidelbergCement AG;49.213555;12.029824;correct;0.0;LINESTRING (12.02982400677736 49.21355500545399, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID6', 'PIPEID4', 'PIPEID8'];652.7997097544828;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;23258323.652756196;29.0575479990699;383387.39998592396;237902.5644198821;856991.6185285358;621727.9475781922;0.7254772790493634;15.839252244751432;44.89680024382133;31.868972703569835;223628.4105546891;72.38046961541038;76.76577294739117;123.75810004604499;0.5997102324908812;0.8266646784709971;0.12397802738583341;0.7646756647780804
5;CID21;9.735574;48.368982;HeidelbergCement AG;48.368982;9.735574;correct;0.0;LINESTRING (9.735574007596558 48.36898200620787, 9.618221007466078 49.80808400562265, 8.746013007548269 51.69847900501734, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID5', 'PIPEID6', 'PIPEID4', 'PIPEID8'];624.7338701187814;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1400300.0000568;48813380.770233355;3338425.8553544283;36108047.66793789;31.63899582146111;535614.7500217259;333312.12932480936;1197267.7024485646;868590.5150660676;0.7254772790493634;15.770344989160956;47.40934081062206;31.959896646567465;313313.4015653207;76.43106710042454;79.36923745718953;127.95528075431146;0.7254772790493634;1.0;0.17333532152900288;0.9133323392354986
