index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
1;CID94;-6.073448;36.618249;36.618249;-6.073448;LafargeHolcim Ltd;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID1', 'PIPEID6'];149.38039699456206;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;50148006.576226965;29.705801614482514;804167.9999999999;522554.16357744567;1797568.8192000003;1304095.3358571935;0.7254772790493635;7.654807997628474;37.36060961211099;33.37269670378417;491200.9137627988;60.23098426072703;70.73330631589516;114.03284645657428;0.19107579567468289;0.26249571371198094;0.26249571371198094;0.13124785685599047
4;CID97;-0.246962;39.663613;39.663613;-0.246962;LafargeHolcim Ltd;LINESTRING (-0.2469619872262426 39.66361301341817, -3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID4', 'PIPEID2', 'PIPEID6'];791.5158487746854;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;879999.9999599999;30676123.026573166;2097989.5397123424;21487292.038061835;30.270436077582517;336599.99998469994;227233.33452455723;752407.0399657997;545854.212091974;0.7254772790493634;16.286610893621017;46.55704697120353;34.670867350660295;213599.33445308372;75.05703981980729;81.22791432186384;130.95175051602772;0.2710542489595373;0.3735377218338365;0.11104200812185555;0.31801671777290874
0;CID93;-1.904785;36.966885;36.966885;-1.904785;LafargeHolcim Ltd;LINESTRING (-1.904784985939916 36.96688501570312, -6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID1', 'PIPEID6'];527.7955928587802;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1389999.9999408;48454330.68983961;3313869.8411460347;33164385.398929983;29.712328832682093;531674.9999773559;351352.7501867412;1188461.1199493837;862201.5395568381;0.7254772790493635;18.486914250347994;48.19924308303008;33.939379188671076;330271.58517553663;77.70450968690464;82.13862227170117;132.41995022588975;0.3973838513075669;0.5478928367766973;0.17435511494286082;0.4607152793052669
2;CID95;-3.901136;40.009935;40.009935;-3.901136;LafargeHolcim Ltd;LINESTRING (-3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID2', 'PIPEID6'];471.7137518292082;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;38941163.32477516;35.807799780362174;497249.999986536;342006.9355543387;1111510.399969904;806375.5406052356;0.7254772790493634;11.08399319311619;46.89179297347836;35.323757763656154;321486.51942107826;75.59670128153623;82.21555073713452;132.54397061096444;0.5155338391169095;0.7128009718423939;0.16490813506569657;0.6303469043095455
3;CID96;2.183652;41.474698;41.474698;2.183652;LafargeHolcim Ltd;LINESTRING (2.183652011413684 41.47469801155553, -0.2469619872262426 39.66361301341817, -3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID3', 'PIPEID4', 'PIPEID2', 'PIPEID6'];1085.6598614396457;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;2310000.000552;80524822.96765709;5507222.54331124;59170673.10223097;31.46806875533808;883575.0002111399;565301.2740128029;1975068.4804719647;1432867.3071489618;0.7254772790493634;21.352967302241833;52.82103605757992;32.85816614117898;531383.1975720346;85.15554281502068;85.6792021987589;138.12790349738378;0.7254772790493635;1.0;0.2871990281576061;0.8564004859211969
