Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;39;INJ_WELL;1;1;LL;10000416.000000002
CLIQ_CO2_OFFSHORE;40;INJ_WELL;1;1;LL;4857823.146982118
