Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;54;INJ_WELL;1;1;LL;10000416.000000002
CLIQ_CO2_OFFSHORE;55;INJ_WELL;1;1;LL;13515389.25894203
