From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;7;12INCH_CO2_ONSHORE;1;LL;1.0
2;1;9INCH_CO2_ONSHORE;1;LL;1.0
7;22;16INCH_CO2_OFFSHORE;1;LL;1.0
