J,R,RESOURCE_CONV_RATE
MINERAL_CEMENT,GENERATED_CO2,-0.8550080000000001
BIOMASS_MINERAL_CEMENT,GENERATED_CO2,-0.8550080000000001
CCS_BIOMASS_MINERAL_CEMENT,GENERATED_CO2,-0.8550080000000001
CCS_MINERAL_CEMENT,GENERATED_CO2,-0.8550080000000001
CALCINED_CLAY_CEMENT,GENERATED_CO2,-0.8550080000000001
CALCINED_CLAY_BIOMASS_CEMENT,GENERATED_CO2,-0.8550080000000001
CCS_CALCINED_CLAY_CEMENT,GENERATED_CO2,-0.8550080000000001
CCS_CALCINED_CLAY_BIOMASS_CEMENT,GENERATED_CO2,-0.8550080000000001
NET,GENERATED_CO2,0.0
SMALL_CO2_COMPRESSOR,GENERATED_CO2,0.0
LARGE_CO2_COMPRESSOR,GENERATED_CO2,0.0
XL_CO2_COMPRESSOR,GENERATED_CO2,0.0
XXL_CO2_COMPRESSOR,GENERATED_CO2,0.0
XXXL_CO2_COMPRESSOR,GENERATED_CO2,0.0
INJ_WELL,GENERATED_CO2,0.0
SALT_CAVERN,GENERATED_CO2,0.0
PRES_CYL_VESSEL,GENERATED_CO2,0.0
NO_ACTION,CEMENT,0.0
INCUMBENT_STEELBFBOF,CEMENT,0.0
CCS_STEELBFBOF,CEMENT,0.0
INCUMBENT_CEMENT,CEMENT,1.0
CCS_CEMENT,CEMENT,0.0
BIOMASS_CEMENT,CEMENT,0.0
CCS_BIOMASS_CEMENT,CEMENT,0.0
MINERAL_CEMENT,CEMENT,0.0
BIOMASS_MINERAL_CEMENT,CEMENT,0.0
CCS_BIOMASS_MINERAL_CEMENT,CEMENT,0.0
CCS_MINERAL_CEMENT,CEMENT,0.0
CALCINED_CLAY_CEMENT,CEMENT,0.0
CALCINED_CLAY_BIOMASS_CEMENT,CEMENT,0.0
CCS_CALCINED_CLAY_CEMENT,CEMENT,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,CEMENT,0.0
NET,CEMENT,0.0
SMALL_CO2_COMPRESSOR,CEMENT,0.0
LARGE_CO2_COMPRESSOR,CEMENT,0.0
XL_CO2_COMPRESSOR,CEMENT,0.0
XXL_CO2_COMPRESSOR,CEMENT,0.0
XXXL_CO2_COMPRESSOR,CEMENT,0.0
INJ_WELL,CEMENT,0.0
SALT_CAVERN,CEMENT,0.0
PRES_CYL_VESSEL,CEMENT,0.0
NO_ACTION,ELECTRICITY,0.0
INCUMBENT_STEELBFBOF,ELECTRICITY,0.0
CCS_STEELBFBOF,ELECTRICITY,0.0
INCUMBENT_CEMENT,ELECTRICITY,0.0
CCS_CEMENT,ELECTRICITY,0.0
BIOMASS_CEMENT,ELECTRICITY,0.0
CCS_BIOMASS_CEMENT,ELECTRICITY,0.0
MINERAL_CEMENT,ELECTRICITY,0.0
BIOMASS_MINERAL_CEMENT,ELECTRICITY,0.0
CCS_BIOMASS_MINERAL_CEMENT,ELECTRICITY,0.0
CCS_MINERAL_CEMENT,ELECTRICITY,0.0
CALCINED_CLAY_CEMENT,ELECTRICITY,0.0
CALCINED_CLAY_BIOMASS_CEMENT,ELECTRICITY,0.0
CCS_CALCINED_CLAY_CEMENT,ELECTRICITY,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,ELECTRICITY,0.0
NET,ELECTRICITY,0.0
SMALL_CO2_COMPRESSOR,ELECTRICITY,0.0
LARGE_CO2_COMPRESSOR,ELECTRICITY,0.0
XL_CO2_COMPRESSOR,ELECTRICITY,0.0
XXL_CO2_COMPRESSOR,ELECTRICITY,0.0
XXXL_CO2_COMPRESSOR,ELECTRICITY,0.0
INJ_WELL,ELECTRICITY,0.0
SALT_CAVERN,ELECTRICITY,0.0
PRES_CYL_VESSEL,ELECTRICITY,0.0
NO_ACTION,CHEMICALS,0.0
INCUMBENT_STEELBFBOF,CHEMICALS,0.0
CCS_STEELBFBOF,CHEMICALS,0.0
INCUMBENT_CEMENT,CHEMICALS,0.0
CCS_CEMENT,CHEMICALS,0.0
BIOMASS_CEMENT,CHEMICALS,0.0
CCS_BIOMASS_CEMENT,CHEMICALS,0.0
MINERAL_CEMENT,CHEMICALS,0.0
BIOMASS_MINERAL_CEMENT,CHEMICALS,0.0
CCS_BIOMASS_MINERAL_CEMENT,CHEMICALS,0.0
CCS_MINERAL_CEMENT,CHEMICALS,0.0
CALCINED_CLAY_CEMENT,CHEMICALS,0.0
CALCINED_CLAY_BIOMASS_CEMENT,CHEMICALS,0.0
CCS_CALCINED_CLAY_CEMENT,CHEMICALS,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,CHEMICALS,0.0
NET,CHEMICALS,0.0
SMALL_CO2_COMPRESSOR,CHEMICALS,0.0
LARGE_CO2_COMPRESSOR,CHEMICALS,0.0
XL_CO2_COMPRESSOR,CHEMICALS,0.0
XXL_CO2_COMPRESSOR,CHEMICALS,0.0
XXXL_CO2_COMPRESSOR,CHEMICALS,0.0
INJ_WELL,CHEMICALS,0.0
SALT_CAVERN,CHEMICALS,0.0
PRES_CYL_VESSEL,CHEMICALS,0.0
NO_ACTION,STEEL,0.0
INCUMBENT_STEELBFBOF,STEEL,1.0
CCS_STEELBFBOF,STEEL,1.0
INCUMBENT_CEMENT,STEEL,0.0
CCS_CEMENT,STEEL,0.0
BIOMASS_CEMENT,STEEL,0.0
CCS_BIOMASS_CEMENT,STEEL,0.0
MINERAL_CEMENT,STEEL,0.0
BIOMASS_MINERAL_CEMENT,STEEL,0.0
CCS_BIOMASS_MINERAL_CEMENT,STEEL,0.0
CCS_MINERAL_CEMENT,STEEL,0.0
CALCINED_CLAY_CEMENT,STEEL,0.0
CALCINED_CLAY_BIOMASS_CEMENT,STEEL,0.0
CCS_CALCINED_CLAY_CEMENT,STEEL,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,STEEL,0.0
NET,STEEL,0.0
SMALL_CO2_COMPRESSOR,STEEL,0.0
LARGE_CO2_COMPRESSOR,STEEL,0.0
XL_CO2_COMPRESSOR,STEEL,0.0
XXL_CO2_COMPRESSOR,STEEL,0.0
XXXL_CO2_COMPRESSOR,STEEL,0.0
INJ_WELL,STEEL,0.0
SALT_CAVERN,STEEL,0.0
PRES_CYL_VESSEL,STEEL,0.0
NO_ACTION,BIOMASS,0.0
INCUMBENT_STEELBFBOF,BIOMASS,0.0
CCS_STEELBFBOF,BIOMASS,0.0
INCUMBENT_CEMENT,BIOMASS,0.0
CCS_CEMENT,BIOMASS,0.0
BIOMASS_CEMENT,BIOMASS,-0.1810303233372424
CCS_BIOMASS_CEMENT,BIOMASS,-0.1810303233372424
MINERAL_CEMENT,BIOMASS,0.0
BIOMASS_MINERAL_CEMENT,BIOMASS,-0.1333907645642839
CCS_BIOMASS_MINERAL_CEMENT,BIOMASS,-0.1810303233372424
CCS_MINERAL_CEMENT,BIOMASS,0.0
CALCINED_CLAY_CEMENT,BIOMASS,0.0
CALCINED_CLAY_BIOMASS_CEMENT,BIOMASS,-0.1458870202814794
CCS_CALCINED_CLAY_CEMENT,BIOMASS,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,BIOMASS,-0.1458870202814794
NET,BIOMASS,0.0
SMALL_CO2_COMPRESSOR,BIOMASS,0.0
LARGE_CO2_COMPRESSOR,BIOMASS,0.0
XL_CO2_COMPRESSOR,BIOMASS,0.0
XXL_CO2_COMPRESSOR,BIOMASS,0.0
XXXL_CO2_COMPRESSOR,BIOMASS,0.0
INJ_WELL,BIOMASS,0.0
SALT_CAVERN,BIOMASS,0.0
PRES_CYL_VESSEL,BIOMASS,0.0
NO_ACTION,OLIVINE,0.0
INCUMBENT_STEELBFBOF,OLIVINE,0.0
CCS_STEELBFBOF,OLIVINE,0.0
INCUMBENT_CEMENT,OLIVINE,0.0
CCS_CEMENT,OLIVINE,0.0
BIOMASS_CEMENT,OLIVINE,0.0
CCS_BIOMASS_CEMENT,OLIVINE,0.0
MINERAL_CEMENT,OLIVINE,-0.3865613368841544
BIOMASS_MINERAL_CEMENT,OLIVINE,-0.3865613368841544
CCS_BIOMASS_MINERAL_CEMENT,OLIVINE,-0.3865613368841544
CCS_MINERAL_CEMENT,OLIVINE,-0.3865613368841544
CALCINED_CLAY_CEMENT,OLIVINE,0.0
CALCINED_CLAY_BIOMASS_CEMENT,OLIVINE,0.0
CCS_CALCINED_CLAY_CEMENT,OLIVINE,0.0
CCS_CALCINED_CLAY_BIOMASS_CEMENT,OLIVINE,0.0
NET,OLIVINE,0.0
SMALL_CO2_COMPRESSOR,OLIVINE,0.0
LARGE_CO2_COMPRESSOR,OLIVINE,0.0
XL_CO2_COMPRESSOR,OLIVINE,0.0
XXL_CO2_COMPRESSOR,OLIVINE,0.0
XXXL_CO2_COMPRESSOR,OLIVINE,0.0
INJ_WELL,OLIVINE,0.0
SALT_CAVERN,OLIVINE,0.0
PRES_CYL_VESSEL,OLIVINE,0.0
NO_ACTION,CLAY,0.0
INCUMBENT_STEELBFBOF,CLAY,0.0
CCS_STEELBFBOF,CLAY,0.0
INCUMBENT_CEMENT,CLAY,0.0
CCS_CEMENT,CLAY,0.0
BIOMASS_CEMENT,CLAY,0.0
CCS_BIOMASS_CEMENT,CLAY,0.0
MINERAL_CEMENT,CLAY,0.0
BIOMASS_MINERAL_CEMENT,CLAY,0.0
CCS_BIOMASS_MINERAL_CEMENT,CLAY,0.0
CCS_MINERAL_CEMENT,CLAY,0.0
CALCINED_CLAY_CEMENT,CLAY,-0.3486606941880881
