OBJECTID;COUNTRYCODE;Latitude;Longitude;STORE_CAP_MEAN;geometry
439;GB;54.0125598312332;1.2707672376333599;13293.9144;POINT (1.27076723763336 54.0125598312332)
440;GB;53.410405192756976;1.6628741129435787;0.0;POINT (1.662874112943579 53.41040519275698)
441;GB;60.26116907760101;1.7873123929650927;370.43862239999993;POINT (1.787312392965093 60.26116907760101)
442;GB;59.74385612091921;1.390369944912755;12220.080929999998;POINT (1.390369944912755 59.74385612091921)
443;GB;57.23100116538156;0.9311091120231744;339.066;POINT (0.9311091120231744 57.23100116538156)
444;GB;57.40650905696381;1.3332670167695033;26132.05056;POINT (1.333267016769503 57.40650905696381)
445;GB;57.65877357304538;0.48367110898284504;372.1788;POINT (0.483671108982845 57.65877357304538)
446;GB;58.50572513587012;0.1310759908910003;14613.75;POINT (0.1310759908910003 58.50572513587012)
447;GB;58.882680128683205;1.2419601255173576;427.28309999999993;POINT (1.241960125517358 58.88268012868321)
448;GB;59.862551884414295;2.0040481299080968;25.26720000000001;POINT (2.004048129908097 59.86255188441429)
449;GB;58.840816256558384;1.4286986588247825;66.146625;POINT (1.428698658824783 58.84081625655838)
450;GB;59.98601885368763;1.861466882982409;221.2938;POINT (1.861466882982409 59.98601885368763)
451;GB;58.44588927619702;1.32668162580729;0.0;POINT (1.32668162580729 58.44588927619702)
452;GB;58.75345895833918;1.3639973874647862;0.0;POINT (1.363997387464786 58.75345895833918)
453;GB;59.03576844403345;1.4895421752865923;6.166125000000001;POINT (1.489542175286592 59.03576844403345)
454;GB;53.849965987833606;-3.591170452916661;1775.0204;POINT (-3.591170452916661 53.84996598783361)
455;GB;54.61267194566324;-4.015058343066815;339.416;POINT (-4.015058343066815 54.61267194566324)
456;GB;53.97813606044958;-4.32267730146844;0.0;POINT (-4.32267730146844 53.97813606044958)
457;GB;58.21578366972097;0.7997286948388944;4753.131074999998;POINT (0.7997286948388944 58.21578366972097)
458;GB;58.257395272698375;1.2970569066556354;30.49091100000001;POINT (1.297056906655635 58.25739527269837)
459;GB;53.642892010463186;-3.4955593569767074;2141.463324;POINT (-3.495559356976707 53.64289201046319)
460;GB;54.18761157982969;-4.00339806618051;1220.5242560000004;POINT (-4.00339806618051 54.18761157982969)
461;GB;53.86033527491322;-3.7525393854844062;0.7618691304;POINT (-3.752539385484406 53.86033527491322)
462;GB;50.48018175725189;-2.1230368423315715;1265.9458;POINT (-2.123036842331572 50.48018175725189)
463;GB;54.04912547798289;-3.7830005613140587;11099.424036375003;POINT (-3.783000561314059 54.04912547798289)
464;GB;53.82349022893304;1.1207486345784599;5466.7872;POINT (1.12074863457846 53.82349022893304)
465;GB;50.43990602594528;-2.362227552112752;393.788448;POINT (-2.362227552112752 50.43990602594528)
498;GB;55.615608035955965;2.5893332936260456;101.7534;POINT (2.589333293626046 55.61560803595597)
499;GB;59.54083262436897;1.4415876901251703;27.36;POINT (1.44158769012517 59.54083262436897)
500;GB;59.76576327569319;1.6490759104677506;17.52;POINT (1.649075910467751 59.76576327569319)
501;GB;58.27731080408564;-2.0929481308485673;0.0;POINT (-2.092948130848567 58.27731080408564)
502;GB;58.17111367882428;-2.2125487962100614;0.0;POINT (-2.212548796210061 58.17111367882428)
503;GB;59.575006928852176;1.683194947825761;102.5325;POINT (1.683194947825761 59.57500692885218)
504;GB;61.025332923345125;1.383649969706319;592.2315;POINT (1.383649969706319 61.02533292334513)
505;GB;52.909136705129406;1.7112371374204456;435.4623;POINT (1.711237137420446 52.90913670512941)
506;GB;58.02051317692713;-2.8843954818914397;0.0;POINT (-2.88439548189144 58.02051317692713)
507;GB;58.71720686649148;1.3691841781086105;0.0;POINT (1.36918417810861 58.71720686649148)
508;GB;56.996906770474304;1.327078542512945;0.0;POINT (1.327078542512945 56.9969067704743)
509;GB;59.465961613976106;1.4479044239085808;0.0;POINT (1.447904423908581 59.46596161397611)
510;GB;58.2387741238014;-2.193041678020127;0.0;POINT (-2.193041678020127 58.2387741238014)
511;GB;56.673998023383;-1.6163912026584477;0.0;POINT (-1.616391202658448 56.673998023383)
512;GB;58.5903581621112;1.4683657477591598;0.0;POINT (1.46836574775916 58.5903581621112)
513;GB;59.57469003102406;1.7218604761983238;0.0;POINT (1.721860476198324 59.57469003102406)
514;GB;61.045133527513975;-0.04268220029699567;0.0;POINT (-0.04268220029699567 61.04513352751398)
515;GB;58.20706176223089;-2.6627606489422795;0.0;POINT (-2.662760648942279 58.20706176223089)
516;GB;56.95215819499272;1.5844638855358275;13693.05;POINT (1.584463885535828 56.95215819499272)
517;GB;58.3735957087372;1.2576307750252065;8.6688;POINT (1.257630775025206 58.3735957087372)
518;GB;58.4818973458284;1.2923738269009302;18.018;POINT (1.29237382690093 58.4818973458284)
519;GB;57.68460261921628;0.28391373267880743;0.0;POINT (0.2839137326788074 57.68460261921628)
520;GB;56.72668691372942;-1.6116709776345919;12.495;POINT (-1.611670977634592 56.72668691372942)
521;GB;53.83690732602397;1.10212636766236;0.0;POINT (1.10212636766236 53.83690732602397)
522;GB;54.96733407523793;-1.2601428745455256;0.0;POINT (-1.260142874545526 54.96733407523793)
523;GB;54.38312363231739;-0.11187380384105663;0.0;POINT (-0.1118738038410566 54.38312363231739)
524;GB;58.90608781526756;0.017911390034471075;604.044;POINT (0.01791139003447107 58.90608781526756)
525;GB;57.71737165525232;-0.18942474575232954;79.01599999999998;POINT (-0.1894247457523295 57.71737165525232)
526;GB;58.50505360205756;-0.26614168310048664;233.24;POINT (-0.2661416831004866 58.50505360205756)
527;GB;56.75116877467806;1.0328288805978916;277.508;POINT (1.032828880597892 56.75116877467806)
528;GB;57.11599256118338;0.4641893540440469;206.10800000000003;POINT (0.4641893540440469 57.11599256118338)
529;GB;52.52674352458553;1.9508436726213505;0.0;POINT (1.95084367262135 52.52674352458553)
530;GB;58.5891979087585;-0.10988236835638024;27.65;POINT (-0.1098823683563802 58.5891979087585)
