RESOURCE;grid_id;T;TM;S;DEMAND
CEMENT;1;1;1;LL;74.20091324
CEMENT;2;1;1;LL;95.89041096
CEMENT;3;1;1;LL;87.32876712
CEMENT;4;1;1;LL;120.0
CEMENT;5;1;1;LL;53.42465753
