Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;47;INJ_WELL;1;1;LL;10968567.201457664
CLIQ_CO2_OFFSHORE;54;INJ_WELL;1;1;LL;11004312.0
