process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;2;1;1;LL;50.70946313693759
NET;2;1;1;LL;17.81120388177853
INCUMBENT_CEMENT;1;1;1;LL;75.29851598
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;75.29851598
