process_tech;grid;Minor Time;Major Time;Scenario;rate
NET;4;1;1;LL;62.88628057387263
LARGE_CO2_COMPRESSOR;4;1;1;LL;177.77820729168832
INCUMBENT_CEMENT;1;1;1;LL;81.62100457
INCUMBENT_CEMENT;2;1;1;LL;106.7351598
INCUMBENT_CEMENT;3;1;1;LL;74.20091324
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;81.62100457
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;106.7351598
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;74.20091324
