resource;strg_tech;grid;Major Time;Scenario;number
CLIQ_CO2_OFFSHORE;INJ_WELL;43;1;LL;9.0
CLIQ_CO2_OFFSHORE;INJ_WELL;49;1;LL;8.0
CLIQ_CO2_OFFSHORE;INJ_WELL;68;1;LL;1.0
CLIQ_CO2_OFFSHORE;INJ_WELL;71;1;LL;5.0
