Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;19;INJ_WELL;1;1;LL;3998781.514809732
CLIQ_CO2_OFFSHORE;42;INJ_WELL;1;1;LL;1000392.0
