grid_from;grid_to;type;TM;EXSTNG_PIPES
19;20;40INCH_CO2_ONSHORE;1;1
20;21;40INCH_CO2_ONSHORE;1;1
21;22;40INCH_CO2_ONSHORE;1;1
22;23;40INCH_CO2_ONSHORE;1;1
23;29;40INCH_CO2_ONSHORE;1;1
