From grid,To grid,Distribution type,Major time,Scenario,No. of units
1,2,6INCH_CO2_ONSHORE,1,LL,1
1,2,9INCH_CO2_ONSHORE,1,LL,1
1,2,12INCH_CO2_ONSHORE,1,LL,1
1,2,16INCH_CO2_ONSHORE,1,LL,1
1,2,24INCH_CO2_ONSHORE,1,LL,1
1,2,28INCH_CO2_ONSHORE,1,LL,1
1,2,32INCH_CO2_ONSHORE,1,LL,1
1,2,40INCH_CO2_ONSHORE,1,LL,1
1,3,6INCH_CO2_ONSHORE,1,LL,1
1,3,9INCH_CO2_ONSHORE,1,LL,1
1,3,12INCH_CO2_ONSHORE,1,LL,1
1,3,16INCH_CO2_ONSHORE,1,LL,1
1,3,24INCH_CO2_ONSHORE,1,LL,1
1,3,28INCH_CO2_ONSHORE,1,LL,1
1,3,32INCH_CO2_ONSHORE,1,LL,1
1,3,40INCH_CO2_ONSHORE,1,LL,1
1,4,6INCH_CO2_ONSHORE,1,LL,1
1,4,9INCH_CO2_ONSHORE,1,LL,1
1,4,12INCH_CO2_ONSHORE,1,LL,1
1,4,16INCH_CO2_ONSHORE,1,LL,1
1,4,24INCH_CO2_ONSHORE,1,LL,1
1,4,28INCH_CO2_ONSHORE,1,LL,1
1,4,32INCH_CO2_ONSHORE,1,LL,1
1,4,40INCH_CO2_ONSHORE,1,LL,1
1,5,6INCH_CO2_ONSHORE,1,LL,1
1,5,9INCH_CO2_ONSHORE,1,LL,1
1,5,12INCH_CO2_ONSHORE,1,LL,1
1,5,16INCH_CO2_ONSHORE,1,LL,1
1,5,24INCH_CO2_ONSHORE,1,LL,1
1,5,28INCH_CO2_ONSHORE,1,LL,1
1,5,32INCH_CO2_ONSHORE,1,LL,1
1,5,40INCH_CO2_ONSHORE,1,LL,1
1,6,6INCH_CO2_ONSHORE,1,LL,1
1,6,9INCH_CO2_ONSHORE,1,LL,1
1,6,12INCH_CO2_ONSHORE,1,LL,1
1,6,16INCH_CO2_ONSHORE,1,LL,1
