index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
2;CID55;-1.851891;53.265267;LINESTRING (-1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID1', 'PIPEID15'];140.2659960934138;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;17863115.073579468;30.09066401386833;281902.50002906995;180465.73260929363;630140.8960649807;457152.9026949499;0.7254772790493634;7.504793214971045;37.59545722883938;32.87778854657773;169637.78865273597;60.60959433303837;70.47324577541711;113.613589316956;0.03457070554959614;0.047430214003735066;0.047430214003735066;0.023715107001867533
10;CID68;-1.875169;53.044003;LINESTRING (-1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID9', 'PIPEID15'];140.173649351203;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;707519.9999328001;24663602.912143365;1686783.5898451859;17334182.006252736;30.352976795176577;270626.399974296;173614.11053900086;604935.2601025436;438866.7865002123;0.7254772790493635;7.293813214801781;37.64679000997836;32.947436968615946;163197.26390666075;60.69235058260018;70.5942269785943;113.80862941453637;0.06775858287063391;0.09298932512160146;0.0455591111178664;0.07020976956266826
0;CID53;-1.751755;53.337916;LINESTRING (-1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID1', 'PIPEID15'];150.84624241631963;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1105500.0000264;38536879.554804504;2635599.3594463705;26911073.73271595;30.195956754227602;422853.7500100979;270928.78211612965;945211.3440225723;685729.3539880875;0.7254772790493634;7.764419781064556;37.960376535292156;32.90574552672003;254673.05518916182;61.197899749668075;70.86612206201218;114.24696563709637;0.11961464119091904;0.16415101934045043;0.07116169421884896;0.12857017223102596
6;CID61;-2.383373;53.888913;LINESTRING (-2.383372988588973 53.8889130062651, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID5', 'PIPEID15'];148.7606277284209;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;958100.0000112001;33398628.94709009;2284186.111492342;23043842.305756036;29.904663296018438;366473.25000428397;234253.04745905832;819183.1648095762;594298.7734490976;0.7254772790493634;8.456648150093748;38.36131144611218;32.828402251210754;220197.86461151476;61.844267797563866;71.18971369732293;114.76864456299339;0.16455655840128494;0.22578523054016372;0.061634211199713296;0.19496812494030707
5;CID59;-1.286254;52.377293;LINESTRING (-1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID4', 'PIPEID9', 'PIPEID15'];225.18099864009423;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1326599.9999616002;46244255.46332248;3162719.2311685686;33680616.111721404;31.24173365322381;507424.499985312;315392.97571062914;1134253.612767168;822875.2247422355;0.7254772790493635;8.805429215308493;40.047162868532304;31.921799150611967;296469.3971679913;64.5621166641625;71.96896201914427;116.02491136094211;0.22678382838233985;0.3104877567486809;0.08470252620851718;0.2681364936444223
7;CID62;-3.061635;53.152678;LINESTRING (-3.061634988237042 53.15267800676049, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID6', 'PIPEID15'];62.64996843220235;CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0;670669.9999727999;23379040.26174159;1598930.2779611012;18147668.659736343;32.91207237444999;256531.27498959593;167965.70927732598;573428.2153367437;416009.1413926333;0.7254772790493634;6.282245027111799;39.19431740156179;33.62691956207735;157887.76672068637;63.18720007604342;72.82123696363914;117.39890818006904;0.25824317042795236;0.35391541696068846;0.04342766021200756;0.3322015868546847
14;CID73;-6.387712;53.684307;LINESTRING (-6.387711986882004 53.68430700731975, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID13', 'PIPEID16'];249.025075470591;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;2063599.999512;71935508.48357257;4919785.46968564;56208481.034282304;33.09112866143071;789326.9998133399;514430.74063960154;1764394.5083827563;1280028.1271111614;0.7254772790493634;8.605808266718292;41.696936928149;33.471619858652026;483564.8962012253;67.22180333550412;75.16855678680102;121.18314470060817;0.3550411459339489;0.4873692088977494;0.13345379193706092;0.42064231292921894
8;CID63;-0.547016;52.640356;LINESTRING (-0.5470159891996003 52.64035600642213, -1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID7', 'PIPEID4', 'PIPEID9', 'PIPEID15'];283.91134626370814;CCS_CALCINED_CLAY_CEMENT;9;1;LL;1.0;1591920.000024;55493106.5584299;3795263.077569358;40977382.188184775;31.59391394641154;608909.40000918;406642.8409569095;1361104.3353805202;987450.269734152;0.7254772790493634;10.273315430477084;41.86722937688862;34.297876232134385;382244.27049949486;67.49634065987456;76.16510560902302;122.7897329508931;0.42971386991450206;0.5910160978190669;0.10364688892131757;0.5391926533584082
4;CID58;-0.529654;53.675822;LINESTRING (-0.5296539893112743 53.67582200595663, -1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID3', 'PIPEID0', 'PIPEID1', 'PIPEID15'];241.11364224357177;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;515899.99996559997;17983877.123946812;1229946.3676302554;12614459.556178052;30.304424445740768;197331.74998684195;130466.87495623449;441098.6271705878;320007.03183212766;0.7254772790493635;12.091140949457143;42.39556539519791;33.95549524517423;122638.86245886039;68.34809866740038;76.35106064037214;123.08952074029683;0.45391336379511027;0.6245117922891851;0.03349569447011813;0.607763945054126
11;CID70;-7.572383;54.143487;LINESTRING (-7.572382986409267 54.14348700739539, -6.767676986807034 54.61810500695669, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID10', 'PIPEID8', 'PIPEID16'];259.01123792822193;CCS_CALCINED_CLAY_CEMENT;12;1;LL;1.0;862289.9999400001;30058766.049938142;2055767.5001760316;24776947.671677817;34.58695069174824;329825.92497705;220340.56275429565;737264.8482686997;534868.8960607181;0.7254772790493635;8.351187137880775;42.938137829629014;34.30966216237338;207120.12898903785;69.22280794269899;77.2477999920024;124.53520094559275;0.4943610892811523;0.6806592410824395;0.056147448793254395;0.6525855166858123
15;CID74;-7.578912;54.130891;LINESTRING (-7.578911986405142 54.13089100740338, -7.572382986409267 54.14348700739539, -6.767676986807034 54.61810500695669, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID14', 'PIPEID10', 'PIPEID8', 'PIPEID16'];260.48042386260136;CCS_CALCINED_CLAY_CEMENT;16;1;LL;1.0;2362319.999328;82348657.87592493;5631957.554850786;67966899.81765842;34.6243089878091;903587.3997429599;603817.0498681656;2019802.497985435;1465320.820455581;0.7254772790493635;8.377030373623139;43.001339361432244;34.31958141357304;567588.0268760755;69.32469842325635;77.32092077500528;124.65308276754112;0.6051712237482743;0.8344925749370118;0.15383333385457232;0.7575759080097256
