From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;3;9INCH_CO2_ONSHORE;1;LL;1.0
2;1;6INCH_CO2_ONSHORE;1;LL;1.0
3;18;12INCH_CO2_OFFSHORE;1;LL;1.0
