From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;6;9INCH_CO2_ONSHORE;1;LL;1.0
2;4;12INCH_CO2_ONSHORE;1;LL;1.0
3;5;6INCH_CO2_ONSHORE;1;LL;1.0
4;6;12INCH_CO2_ONSHORE;1;LL;1.0
5;2;9INCH_CO2_ONSHORE;1;LL;1.0
6;21;16INCH_CO2_OFFSHORE;1;LL;1.0000000000000002
