OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
SID17;-4.015058343;54.61267195;36;STORAGE;20;339.416;0;0;1;0;1;1;0
SID19;0.799728695;58.21578367;37;STORAGE;20;4753.131075;0;0;1;0;1;1;0
SID20;1.297056907;58.25739527;38;STORAGE;20;30.490911;0;0;1;0;1;1;0
SID21;-3.495559357;53.64289201;39;STORAGE;20;2141.463324;0;0;1;0;1;1;0
SID22;-4.003398066;54.18761158;40;STORAGE;20;1220.524256;0;0;1;0;1;1;0
SID23;-3.752539385;53.86033527;41;STORAGE;20;0.76186913;0;0;1;0;1;1;0
SID24;-2.123036842;50.48018176;42;STORAGE;20;1265.9458;0;0;1;0;1;1;0
SID25;-3.783000561;54.04912548;43;STORAGE;20;11099.42404;0;0;1;0;1;1;0
SID26;1.120748635;53.82349023;44;STORAGE;20;5466.7872;0;0;1;0;1;1;0
SID27;-2.362227552;50.43990603;45;STORAGE;20;393.788448;0;0;1;0;1;1;0
SID28;2.589333294;55.61560804;46;STORAGE;20;101.7534;0;0;1;0;1;1;0
SID29;1.44158769;59.54083262;47;STORAGE;20;27.36;0;0;1;0;1;1;0
SID30;1.64907591;59.76576328;48;STORAGE;20;17.52;0;0;1;0;1;1;0
SID33;1.683194948;59.57500693;49;STORAGE;20;102.5325;0;0;1;0;1;1;0
SID34;1.38364997;61.02533292;50;STORAGE;20;592.2315;0;0;1;0;1;1;0
SID35;1.711237137;52.90913671;51;STORAGE;20;435.4623;0;0;1;0;1;1;0
SID46;1.584463886;56.95215819;52;STORAGE;20;13693.05;0;0;1;0;1;1;0
SID47;1.257630775;58.37359571;53;STORAGE;20;8.6688;0;0;1;0;1;1;0
SID48;1.292373827;58.48189735;54;STORAGE;20;18.018;0;0;1;0;1;1;0
SID50;-1.611670978;56.72668691;55;STORAGE;20;12.495;0;0;1;0;1;1;0
