OID;COUNTRYCODE;Latitude;Longitude;STORE_CAP_MEAN;geometry
SID71;GB;60.80170559;1.349296133;16360.99166;POINT (1.349296133361607 60.80170559020521)
SID72;GB;61.65806026;1.369053231;0;POINT (1.369053230522751 61.65806026005438)
SID73;GB;58.19647436;-2.24029165;209.125;POINT (-2.240291650082328 58.19647436119123)
SID74;GB;57.43753242;1.449268637;8845.389;POINT (1.44926863745875 57.43753241641775)
SID75;GB;58.13984376;-2.678314764;736.103808;POINT (-2.678314764253649 58.13984375562506)
SID76;GB;58.57685962;1.314870863;15.53664;POINT (1.314870863475776 58.57685962266191)
SID77;GB;58.73056033;1.402289001;132.048;POINT (1.402289000908654 58.73056033414716)
SID78;GB;61.11119113;1.351733829;2183.7816;POINT (1.351733828591121 61.11119112674306)
SID79;GB;57.98727857;0.958721235;193.2525;POINT (0.958721234689931 57.9872785730056)
SID80;GB;58.04728858;-3.173830198;76.86;POINT (-3.173830198379589 58.04728858221512)
SID81;GB;59.40810414;1.622360491;4.56;POINT (1.622360491397827 59.40810414469391)
SID82;GB;57.62933157;0.991267105;105;POINT (0.9912671048500737 57.62933157460045)
SID83;GB;58.24446101;-1.71367925;1109.52;POINT (-1.713679250315413 58.24446100549029)
SID84;GB;58.37975968;0.057532184;507.6;POINT (0.05753218355969951 58.3797596793413)
SID85;GB;60.63316236;1.046047033;22.0248;POINT (1.04604703280447 60.63316235521255)
SID86;GB;58.32562071;-1.924529914;4741.74;POINT (-1.924529913753772 58.32562070636362)
SID87;GB;58.46002611;0.191594773;0;POINT (0.1915947734292009 58.46002610793621)
SID88;GB;58.5480616;-1.116831038;228.305;POINT (-1.116831038021668 58.5480616004391)
SID89;GB;58.11731044;-3.069787516;88.4646;POINT (-3.069787515568222 58.11731044151723)
SID90;GB;58.52309137;-0.099272967;2138.83824;POINT (-0.09927296703056498 58.52309136924552)
SID91;GB;57.34975132;1.62214918;5265.988;POINT (1.622149180058452 57.34975131622929)
SID92;GB;58.17504062;-1.689003401;55.8432;POINT (-1.68900340065887 58.17504061521443)
SID93;GB;57.91356974;-0.270809306;60.83;POINT (-0.2708093055302334 57.91356973534472)
SID94;GB;59.57640082;1.691080855;390.44544;POINT (1.691080855310905 59.57640081761285)
SID95;GB;60.87246079;1.700832541;254.43264;POINT (1.700832541256631 60.87246079114713)
SID96;GB;58.31936376;-1.778740868;805.72968;POINT (-1.778740868398504 58.31936376419784)
SID97;GER;55.07066178;6.674735937;100;POINT (55.07066177666083 6.674735936873439)
SID98;GER;55.04193579;7.213348192;100;POINT (55.04193578974672 7.213348191513218)
SID99;GER;54.91985035;7.47906357;100;POINT (54.9198503453617 7.479063570468843)
SID100;GER;54.7905834;7.292344656;100;POINT (54.79058340424815 7.292344655527053)
SID101;GER;54.61104599;6.782458388;100;POINT (54.61104598603489 6.782458387801396)
SID102;GER;54.51768653;6.940451316;100;POINT (54.517686528564 6.940451315829064)
SID103;GER;54.30224163;6.523924506;100;POINT (54.30224162670808 6.523924505574302)
SID104;GER;54.29506013;6.782458388;100;POINT (54.29506012997955 6.782458387801396)
SID105;GER;54.19451918;7.170259211;100;POINT (54.19451917578013 7.170259211142037)
SID106;GER;54.12270421;7.421611597;100;POINT (54.12270420849482 7.4216115966406)
SID107;GER;53.99343727;7.881227387;100;POINT (53.99343726738128 7.881227387266545)
SID108;GER;53.78517386;7.471882074;100;POINT (53.7851738622539 7.471882073740312)
SID109;GER;53.7061774;7.759141943;100;POINT (53.70617739824007 7.759141942881528)
SID110;GER;53.59845495;8.355206171;100;POINT (53.59845494731211 8.35520617134955)
SID111;GER;53.74208488;8.484473112;100;POINT (53.74208488188272 8.484473112463098)
