Description;Latitude;Longitude;VID
Northsea Germany;54.31939305;7.785554999;SID1
Northsea Scotland;57.75210883;-1.484466163;SID2
Northsea England West;53.5788168;-3.57786508;SID3
Northsea England East;53.25467761;1.554338718;SID4
Northsea Netherlands;52.680495;4.192675;SID5
