OID;COUNTRY;Longitude;Latitude;geometry;STORAGE_CAP_
SID97;DE;6.674735937;55.07066178;POINT (55.07066177666083 6.674735936873439);100
SID98;DE;7.213348192;55.04193579;POINT (55.04193578974672 7.213348191513218);100
SID99;DE;7.47906357;54.91985035;POINT (54.9198503453617 7.479063570468843);100
SID100;DE;7.292344656;54.7905834;POINT (54.79058340424815 7.292344655527053);100
SID101;DE;6.782458388;54.61104599;POINT (54.61104598603489 6.782458387801396);100
SID102;DE;6.940451316;54.51768653;POINT (54.517686528564 6.940451315829064);100
SID103;DE;6.523924506;54.30224163;POINT (54.30224162670808 6.523924505574302);100
SID104;DE;6.782458388;54.29506013;POINT (54.29506012997955 6.782458387801396);100
SID105;DE;7.170259211;54.19451918;POINT (54.19451917578013 7.170259211142037);100
SID106;DE;7.421611597;54.12270421;POINT (54.12270420849482 7.4216115966406);100
SID107;DE;7.881227387;53.99343727;POINT (53.99343726738128 7.881227387266545);100
SID108;DE;7.471882074;53.78517386;POINT (53.7851738622539 7.471882073740312);100
SID109;DE;7.759141943;53.7061774;POINT (53.70617739824007 7.759141942881528);100
SID110;DE;8.355206171;53.59845495;POINT (53.59845494731211 8.35520617134955);100
SID111;DE;8.484473112;53.74208488;POINT (53.74208488188272 8.484473112463098);100
SID112;DE;8.750188491;54.00780026;POINT (54.00780026083834 8.750188491418722);100
SID113;DE;8.391113655;54.28069714;POINT (54.28069713652249 8.391113654992203);100
SID114;DE;8.269028211;54.42432707;POINT (54.4243270710931 8.269028210607186);100
SID115;DE;8.455747126;54.7977649;POINT (54.79776490097668 8.455747125548976);100
