Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity
Switzerland;CEMENTID85;756;Europe;Western Europe;46.91631;9.54928;1.19
Switzerland;CEMENTID86;756;Europe;Western Europe;47.521397;8.238877;
Switzerland;CEMENTID87;756;Europe;Western Europe;46.655283;6.545972;0.94
Denmark;CEMENTID88;208;Europe;Northern Europe;57.061731;9.977316;2.95
Estonia;CEMENTID89;233;Europe;Northern Europe;59.496786;26.5284;0.75
Finland;CEMENTID90;246;Europe;Northern Europe;61.031247;28.174569;0.78
Finland;CEMENTID91;246;Europe;Northern Europe;60.285141;22.288667;1.56
France;CEMENTID92;250;Europe;Western Europe;50.586554;1.619138;1.14
France;CEMENTID93;250;Europe;Western Europe;48.69024;6.965379;
France;CEMENTID94;250;Europe;Western Europe;50.699073;2.11344;0.82
France;CEMENTID95;250;Europe;Western Europe;47.135245;5.552513;0.91
France;CEMENTID96;250;Europe;Western Europe;46.809772;-0.138968;2.08
France;CEMENTID97;250;Europe;Western Europe;43.80483;4.621082;0.99
France;CEMENTID98;250;Europe;Western Europe;45.226037;-0.365494;1.39
France;CEMENTID99;250;Europe;Western Europe;44.642952;4.754983;
France;CEMENTID100;250;Europe;Western Europe;48.980312;1.820137;2
France;CEMENTID101;250;Europe;Western Europe;47.587909;0.328983;0.76
France;CEMENTID102;250;Europe;Western Europe;48.768805;4.564675;1.78
France;CEMENTID103;250;Europe;Western Europe;47.083275;3.002822;
France;CEMENTID104;250;Europe;Western Europe;47.62921;7.235748;
France;CEMENTID105;250;Europe;Western Europe;43.799009;7.326102;
France;CEMENTID106;250;Europe;Western Europe;45.614734;0.10411;1.14
France;CEMENTID107;250;Europe;Western Europe;49.467215;0.317085;2.59
France;CEMENTID108;250;Europe;Western Europe;44.520718;4.688932;0.94
France;CEMENTID109;250;Europe;Western Europe;45.865692;4.659723;
France;CEMENTID110;250;Europe;Western Europe;43.186126;0.99038;
France;CEMENTID111;250;Europe;Western Europe;43.024394;3.029105;0.67
France;CEMENTID112;250;Europe;Western Europe;48.108869;-1.035972;1.16
France;CEMENTID113;250;Europe;Western Europe;43.419334;5.386825;1.12
France;CEMENTID114;250;Europe;Western Europe;46.250804;3.424963;1.12
France;CEMENTID115;250;Europe;Western Europe;43.793674;7.374769;1.75
France;CEMENTID116;250;Europe;Western Europe;45.804972;5.421124;1.26
France;CEMENTID117;250;Europe;Western Europe;45.230667;5.668787;0.91
France;CEMENTID118;250;Europe;Western Europe;48.563372;6.109185;1.47
Ireland;CEMENTID119;372;Europe;Northern Europe;53.432118;-7.143371;0.7
Ireland;CEMENTID120;372;Europe;Northern Europe;52.641364;-8.688373;0.8
Ireland;CEMENTID121;372;Europe;Northern Europe;53.684307;-6.387712;2.8
Ireland;CEMENTID122;372;Europe;Northern Europe;54.130891;-7.578912;1.3
Lithuania;CEMENTID123;440;Europe;Northern Europe;56.314379;22.917322;1.3
Luxembourg;CEMENTID124;442;Europe;Western Europe;49.465827;6.006684;1.41
Latvia;CEMENTID125;428;Europe;Northern Europe;56.690803;22.592287;1.6
Norway;CEMENTID126;578;Europe;Northern Europe;68.094529;16.375326;0.5
Sweden;CEMENTID127;752;Europe;Northern Europe;58.384691;13.826921;0.6
Sweden;CEMENTID128;752;Europe;Northern Europe;57.710068;18.804074;2.5
