Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity
France;CID117;250;Europe;Western Europe;45.230667;5.668787;0.91
France;CID118;250;Europe;Western Europe;48.563372;6.109185;1.47
Ireland;CID119;372;Europe;Northern Europe;53.432118;-7.143371;0.7
Ireland;CID120;372;Europe;Northern Europe;52.641364;-8.688373;0.8
Ireland;CID121;372;Europe;Northern Europe;53.684307;-6.387712;2.8
Ireland;CID122;372;Europe;Northern Europe;54.130891;-7.578912;1.3
Lithuania;CID123;440;Europe;Northern Europe;56.314379;22.917322;1.3
Luxembourg;CID124;442;Europe;Western Europe;49.465827;6.006684;1.41
Latvia;CID125;428;Europe;Northern Europe;56.690803;22.592287;1.6
Norway;CID126;578;Europe;Northern Europe;68.094529;16.375326;0.5
Sweden;CID127;752;Europe;Northern Europe;58.384691;13.826921;0.6
Sweden;CID128;752;Europe;Northern Europe;57.710068;18.804074;2.5
