id;STORE_CAP_;Type;geometry;Longitude;Latitude
1;168;Saline;POINT (4.126057326609443 52.9926947636881);4.126057326609443;52.9926947636881
2;360;Saline;POINT (3.825024690923652 52.56102532383677);3.825024690923652;52.56102532383677
3;650;Saline;POINT (4.455489267548611 54.37006106847686);4.455489267548611;54.37006106847686
4;60;Saline;POINT (3.870463579329055 53.44140378669145);3.870463579329055;53.441403786691446
5;190;Saline;POINT (4.202735450793562 55.11696279664066);4.202735450793562;55.116962796640664
6;165;Gas field;POINT (3.975541008766551 53.24260864991781);3.975541008766551;53.24260864991781
7;140;Gas field;POINT (3.271238238482813 53.75379614447859);3.271238238482813;53.753796144478585
8;195;Gas field;POINT (3.350756293192267 53.50956211929955);3.350756293192267;53.50956211929955
9;175;Gas field;POINT (4.180016006590861 53.46412323089415);4.180016006590861;53.464123230894145
