grid_from;grid_to;type;TM;EXSTNG_PIPES
4;123;9INCH_CO2_ONSHORE;1;1
124;84;32INCH_CO2_OFFSHORE;1;1
122;20;32INCH_CO2_ONSHORE;1;1
20;44;32INCH_CO2_OFFSHORE;1;1
5;112;9INCH_CO2_ONSHORE;1;1
