From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;6;9INCH_CO2_ONSHORE;1;LL;1.0
2;8;9INCH_CO2_ONSHORE;1;LL;1.0
3;4;9INCH_CO2_ONSHORE;1;LL;1.0
4;17;9INCH_CO2_OFFSHORE;1;LL;1.0
6;32;9INCH_CO2_OFFSHORE;1;LL;1.0
8;36;9INCH_CO2_OFFSHORE;1;LL;1.0
