Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;13.578913494285509
EMITTED_CO2;2;1;1;LL;13.722782128731808
EMITTED_CO2;3;1;1;LL;8.995606378802004
EMITTED_CO2;4;1;1;LL;13.506325216020509
EMITTED_CO2;5;1;1;LL;13.577882080996524
EMITTED_CO2;6;1;1;LL;19.024664915799622
EMITTED_CO2;7;1;1;LL;13.651509146099478
EMITTED_CO2;8;1;1;LL;13.737955509366412
