index;OID;Longitude;Latitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
1;CID74;-7.578912;54.130891;Mannok Build Ltd;LINESTRING (-7.578911986405142 54.13089100740338, -7.572382986409267 54.14348700739539, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID1', 'PIPEID0', 'PIPEID2'];257.0258559844381;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;2362319.999328;82348657.87592493;5631957.554850786;67988607.1566892;34.63349797957861;903587.3997429599;621143.4814371291;2019802.497985435;1465320.820455581;0.7254772790493635;9.455015930542011;44.08851391012062;35.304376193660104;583874.8725509013;71.07738912639428;79.39289010378073;127.99341241756184;0.5314780657956819;0.7393919532397109;0.7393919532397109;0.3696959766198554
0;CID70;-7.572383;54.143487;Mannok Build Ltd;LINESTRING (-7.572382986409267 54.14348700739539, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID0', 'PIPEID2'];255.5566700500587;CCS_CEMENT;1;1;LL;1.0;862289.9999400001;31629764.400938205;1619423.7238046944;21523053.042995367;30.488674990833953;659651.8499541001;249998.42063380533;737264.8482686997;487266.4276348944;0.6609109721955817;18.860513959315718;49.34918895014967;38.92774551291988;234998.51539577695;87.33068753250642;88.27693446306955;156.21908979516255;0.7082116622009038;1.0;0.26060804676028915;0.8696959766198554
