Resource;grid;strg_tech;Minor time;Major Time;Scenario;inventory
CLIQ_CO2_OFFSHORE;47;INJ_WELL;1;1;LL;10943781.761746546
CLIQ_CO2_OFFSHORE;54;INJ_WELL;1;1;LL;11004312.000000002
