OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
SID10;2.00404813;59.86255188;36;STORAGE;20;25.2672;0;0;1;0;1;1;0
SID11;1.428698659;58.84081626;37;STORAGE;20;66.146625;0;0;1;0;1;1;0
SID12;1.861466883;59.98601885;38;STORAGE;20;221.2938;0;0;1;0;1;1;0
SID13;1.326681626;58.44588928;39;STORAGE;20;0.0;0;0;1;0;1;1;0
SID14;1.363997387;58.75345896;40;STORAGE;20;0.0;0;0;1;0;1;1;0
SID15;1.489542175;59.03576844;41;STORAGE;20;6.166125;0;0;1;0;1;1;0
SID16;-3.591170453;53.84996599;42;STORAGE;20;1775.0204;0;0;1;0;1;1;0
SID17;-4.015058343;54.61267195;43;STORAGE;20;339.416;0;0;1;0;1;1;0
SID18;-4.322677301;53.97813606;44;STORAGE;20;0.0;0;0;1;0;1;1;0
SID19;0.799728695;58.21578367;45;STORAGE;20;4753.131075;0;0;1;0;1;1;0
SID20;1.297056907;58.25739527;46;STORAGE;20;30.490911;0;0;1;0;1;1;0
SID21;-3.495559357;53.64289201;47;STORAGE;20;2141.463324;0;0;1;0;1;1;0
SID22;-4.003398066;54.18761158;48;STORAGE;20;1220.524256;0;0;1;0;1;1;0
SID23;-3.752539385;53.86033527;49;STORAGE;20;0.76186913;0;0;1;0;1;1;0
SID24;-2.123036842;50.48018176;50;STORAGE;20;1265.9458;0;0;1;0;1;1;0
SID25;-3.783000561;54.04912548;51;STORAGE;20;11099.42404;0;0;1;0;1;1;0
SID26;1.120748635;53.82349023;52;STORAGE;20;5466.7872;0;0;1;0;1;1;0
SID27;-2.362227552;50.43990603;53;STORAGE;20;393.788448;0;0;1;0;1;1;0
SID28;2.589333294;55.61560804;54;STORAGE;20;101.7534;0;0;1;0;1;1;0
SID29;1.44158769;59.54083262;55;STORAGE;20;27.36;0;0;1;0;1;1;0
SID30;1.64907591;59.76576328;56;STORAGE;20;17.52;0;0;1;0;1;1;0
