index;OID;Longitude;Latitude;parent_name;Lat;Lon;lat/lon correct?;parent correct?;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
0;CID10;11.660638;51.270124;CRH PLC;51.270124;11.660638;correct;0.0;LINESTRING (11.66063800667777 51.27012400471651, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID0', 'PIPEID2'];375.12584190510563;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1695100.0000872;59089881.9856622;4041252.3512624856;37654743.35135521;28.066936024028266;648375.7500333539;399014.62825009314;1449324.060874557;1051451.6761440476;0.7254772790493635;11.319380561568508;39.386316585596774;31.605948688614387;375073.75055508746;63.49673195873343;70.99226527421116;114.45032767822568;0.4559010223683595;0.6281488610284751;0.6281488610284751;0.31407443051423756
1;CID11;8.614774;49.016926;CRH PLC;49.016926;8.614774;correct;0.0;LINESTRING (8.614774007886115 49.01692600613847, 11.66063800667777 51.27012400471651, 8.155554007572304 53.55637800441545, 8.355206178504126 53.59845495436934);['PIPEID1', 'PIPEID0', 'PIPEID2'];719.9391534427045;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1002319.9999632;34940104.12757221;2389610.085753243;23900804.98890749;29.6985422286322;383387.39998592396;236963.41714357163;856991.6185285358;621727.9475781922;0.7254772790493634;19.825949972780304;49.5244922014125;31.74316632991282;222745.61211495727;79.8410128012692;81.26765853132532;131.01582422572847;0.7254772790493635;1.0;0.3718511389715249;0.8140744305142376
